"Entry","Name","a","b","c","d","RR","Environments","a_p.value","b_p.value","c_p.value","d_p.value"
2,"CDC Rosie AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598,,0.8459236201684,18,1.99187258047008e-15,2.76437549481172e-07,1.07031693317471e-24,
2,"CDC Rosie AGL",0.0209252132424467,-0.00175206235807338,-0.00153402249683015,0.000190738184307775,0.843227951762813,18,0.168610844096879,0.0534282068426557,0.262738558846665,0.0212591827277164
9,"CDC Impower AGL",-0.0175066489321135,0.000382788043520127,0.00190004378252379,,0.875524869407973,17,1.55015574928761e-19,1.05898338335989e-08,6.55938234508037e-29,
9,"CDC Impower AGL",0.0125459831785838,-0.00139660619698693,-0.000823943628471642,0.000161376163270544,0.87397496206051,17,0.394254354862184,0.112182293488029,0.535716340876831,0.0442771301265938
11,"CDC LeMay AGL",-0.0170372373519495,0.00035474807515231,0.00189527390276896,,0.856414807188775,18,1.11260403649051e-18,8.01403733696144e-08,2.96992411784691e-28,
11,"CDC LeMay AGL",0.0159405386488848,-0.00159878390724547,-0.00109875424552201,0.000177424377795272,0.854569360960791,18,0.272241083604453,0.0659333218320306,0.402504157471226,0.025652342654208
15,"CDC Redcoat AGL",-0.0158726999998727,0.000281315026245441,0.00187489215175835,,0.909812734158519,15,1.72784971762672e-20,2.0278835023537e-07,3.7423104839446e-32,
15,"CDC Redcoat AGL",0.00971159384511938,-0.00123104864748075,-0.000447036880258564,0.000137401373120012,0.91240967212636,15,0.446559449400207,0.10581934567292,0.698372407324608,0.0480233073689141
16,"CDC Redwing AGL",-0.0171415123174633,0.000284316106967889,0.00198365170215265,,0.899841049122125,15,3.43046184036108e-20,2.67522066602634e-06,4.96304434318351e-31,
16,"CDC Redwing AGL",0.0167169241112742,-0.00171687954087183,-0.00108979969691478,0.000181856140000343,0.901402100487033,15,0.218048600228791,0.0348909160310937,0.373808090344498,0.014522187974131
65,"ILL 2194 AGL",-0.0217666196432822,0.000226612471930388,0.00249286591261345,,0.916049215088417,17,5.30762193736877e-24,0.000135083753087562,2.79596588034037e-34,
65,"ILL 2194 AGL",0.0171722185606068,-0.0020765135784467,-0.00103801135827954,0.000208922635433777,0.914205797615936,17,0.20960977858681,0.012364631697106,0.40005333733095,0.00579632462180221
83,"ILL 4783 AGL",-0.0187448202217303,0.00035861271372547,0.00201317720816914,,0.872876356470106,16,1.66907953461764e-20,3.28131275579372e-08,3.15103436942134e-30,
83,"ILL 4783 AGL",0.0191027891271497,-0.00187913166065898,-0.0014213454091414,0.000203268334950114,0.882365701314184,16,0.195728828526077,0.0336763191056393,0.286671333184191,0.0120651532607014
86,"ILL 4956 AGL",-0.0196960207211073,0.000421643702100093,0.00203517304181256,,0.90163349997258,17,9.54285515485907e-23,4.09718953824304e-11,3.21314463963424e-31,
86,"ILL 4956 AGL",0.0129444704047419,-0.0015055199737346,-0.000928553986458563,0.000175147916199937,0.908948243356887,17,0.336029054587952,0.06138849902698,0.445711843206319,0.0177545071340406
134,"PI 178939 LSP AGL",-0.0199188309308526,0.000405749985819729,0.00207470819933308,,0.842235042407424,17,4.6262702934434e-20,2.29487879937494e-08,1.75519165471568e-28,
134,"PI 178939 LSP AGL",0.0178587008971293,-0.00182861458254459,-0.00135097953282604,0.00020269403040751,0.848519614811482,17,0.272579066408985,0.0604072122077603,0.358439097691216,0.0227248086444617
136,"PI 178971 LSP AGL",-0.0195746245135615,0.000385882490140457,0.00208385204295034,,0.912300154386492,16,3.25008738916091e-24,7.9716120634061e-11,1.91983907421329e-34,
136,"PI 178971 LSP AGL",0.0124880487038963,-0.00150963329282017,-0.000825844123651589,0.000172194871355245,0.912505785945428,16,0.329354468594887,0.0490876406834037,0.475528502217271,0.0143447996918874
139,"PI 181771 LSP AGL",-0.0192447425134948,0.000372932158931131,0.00207208971972276,,0.925830964694772,16,3.76630739445809e-26,4.82236295490734e-12,1.63464347271194e-36,
139,"PI 181771 LSP AGL",0.00519964318518977,-0.00107061422712017,-0.000147249097591398,0.000131175126200815,0.930866393419632,16,0.655110066917365,0.123077938340239,0.888926984204951,0.0391636461414938
146,"PI 207492 LSP AGL",-0.0199720639863297,0.000380549002825659,0.00212689966740671,,0.90629708818904,16,1.35663135521217e-23,3.85492155566667e-10,3.15318299389793e-33,
146,"PI 207492 LSP AGL",0.0102853780422621,-0.0014064869711671,-0.000620073554214396,0.000162374016073419,0.90710614729332,16,0.447756381832012,0.0823166155060849,0.613054519355133,0.0284884729159381
151,"PI 212610 LSP AGL",-0.0190912362667217,0.000361377902393808,0.00206516613324559,,0.917381256239676,16,9.91496736983946e-25,9.32474621475332e-11,8.78127520123975e-35,
151,"PI 212610 LSP AGL",0.0151738647470327,-0.00166194191987027,-0.00104598085748469,0.000183874706926833,0.92094652008051,16,0.201414985023252,0.0200468462398727,0.329638186107688,0.00512064618358687
162,"PI 289073 LSP AGL",-0.0186422807800522,0.000356380188291917,0.00202711442529312,,0.914134294917302,17,2.62970497077078e-24,3.71499587244106e-10,3.29757741456445e-34,
162,"PI 289073 LSP AGL",0.00845612952962444,-0.00124809675250729,-0.000429100666604706,0.000145512628324824,0.919331402317575,17,0.478349842135847,0.0808531520232938,0.690469765906949,0.0260201340776577
163,"PI 289079 LSP AGL",-0.0179774561937878,0.000318636789087645,0.00199160896873608,,0.94272288148843,16,5.43770314885629e-22,4.59525559586253e-08,8.10802731644135e-32,
163,"PI 289079 LSP AGL",0.0228841056784293,-0.00209813375248814,-0.00171374033412208,0.000219241286125811,0.951484481290569,16,0.0711946561184595,0.00621878835477892,0.133545744190336,0.00181736656866817
165,"PI 297285 LSP AGL",-0.0177544063385113,0.00036265712181028,0.00196287646503173,,0.926821162459118,17,6.26588853665619e-24,9.05999512966069e-11,1.62501040942577e-33,
165,"PI 297285 LSP AGL",0.0150900996442414,-0.00158066368287628,-0.00101477997905416,0.00017622988666157,0.930195830561189,17,0.177432377772287,0.0191764455219859,0.314286386636603,0.00446659320695718
166,"PI 297287 AGL",-0.0197798114361522,0.000294935375245688,0.00221246128795329,,0.930973412163982,17,3.16663927802087e-25,5.46364094193408e-08,2.05174686292765e-35,
166,"PI 297287 AGL",0.0120358884322684,-0.00158923535290017,-0.00067103815640833,0.000170850474732196,0.930563684784497,17,0.300493416988711,0.0237558553116706,0.522084697095119,0.00787291758764119
174,"PI 298122 LSP AGL",-0.0186030812438115,0.000380550919530965,0.00199686545858315,,0.900012141203295,17,2.06672193581387e-22,9.45497476726841e-10,6.91852884625959e-32,
174,"PI 298122 LSP AGL",0.0104466885970603,-0.00133946458368692,-0.000636221954438564,0.000155991008825598,0.905297403436268,17,0.429851210453381,0.0907451121058943,0.594603969490044,0.0311063265060243
