"Entry","Name","Origin","NumberOfSeeds","SeedMass","MassWithEnvelope"
1,"CDC Asterix AGL","Canada",300,8.87671232876712,11.9767123287671
2,"CDC Rosie AGL","Canada",300,10.3326039387309,13.4326039387309
3,"3156-11 AGL","Canada",300,13.671875,16.771875
4,"CDC Greenstar AGL","Canada",300,21.5057142857143,24.6057142857143
5,"CDC Cherie AGL","Canada",300,13.3702702702703,16.4702702702703
6,"CDC Glamis AGL","Canada",300,20.4107142857143,23.5107142857143
7,"CDC Gold AGL","Canada",300,15.8957055214724,18.9957055214724
10,"CDC KR-1 AGL","Canada",300,17.9096989966555,21.0096989966555
11,"CDC LeMay AGL","Canada",300,11.629680998613,14.729680998613
13,"CDC QG-1 AGL","Canada",300,14.7129186602871,17.8129186602871
14,"CDC Red Rider AGL","Canada",300,14.8075117370892,17.9075117370892
15,"CDC Redcoat AGL","Canada",300,14.1218637992832,17.2218637992832
16,"CDC Redwing AGL","Canada",300,12.6266094420601,15.7266094420601
17,"CDC Robin AGL","Canada",300,9.4789156626506,12.5789156626506
18,"CDC Rosebud AGL","Canada",300,9.8,12.9
19,"CDC Rosetown AGL","Canada",300,10.4965909090909,13.5965909090909
20,"CDC Rouleau AGL","Canada",300,12.5005417118093,15.6005417118093
21,"CDC Royale AGL","Canada",300,13.6713197969543,16.7713197969543
22,"CDC Ruby AGL","Canada",300,9.81072555205047,12.9107255520505
23,"CDC SB-1 AGL","Canada",300,11.205,14.305
24,"CDC Sedley AGL","Canada",300,18.4352941176471,21.5352941176471
25,"CDC Vantage AGL","Canada",300,15.5487804878049,18.6487804878049
26,"CN 105604 AGL","Ethiopia",300,7.39236641221374,10.4923664122137
27,"CN 105605 AGL","Eritrea",300,8.98227848101266,12.0822784810127
28,"CN 105715 AGL","Ethiopia",300,15.4515463917526,18.5515463917526
29,"CN 105732 AGL","Ethiopia",300,14.6307692307692,17.7307692307692
30,"CN 105767 AGL","Libya",300,9.42857142857143,12.5285714285714
31,"CN 105777 AGL","Egypt",300,8.98251748251748,12.0825174825175
32,"CN 105789 AGL","Ethiopia",300,9.01892744479495,12.118927444795
33,"CN 105791 AGL","Egypt",300,7.86536758193091,10.9653675819309
34,"CN 105862 AGL","Tunisia",300,18.5539906103286,21.6539906103286
35,"CN 105863 AGL","Tunisia",300,21.2445328031809,24.3445328031809
36,"CN 105864 AGL","Tunisia",300,14.8150943396226,17.9150943396226
37,"CN 105865 AGL","Tunisia",300,20.0266343825666,23.1266343825666
38,"CN 105895 AGL","Egypt",300,10.1651254953765,13.2651254953765
39,"CN 106265 AGL","Egypt",300,12.0818858560794,15.1818858560794
40,"CN 108369 AGL","Libya",300,20.6049618320611,23.7049618320611
41,"CN 108370 AGL","Libya",300,7.83120706575074,10.9312070657507
42,"Crimson AGL","USA",300,12.1653543307087,15.2653543307087
43,"DPL 62 AGL","India",300,13.3142857142857,16.4142857142857
44,"Eston AGL","Canada",300,11.2908309455587,14.3908309455587
45,"Gudo AGL","Ethiopia",300,14.7201834862385,17.8201834862385
46,"IG 1046 AGL","Egypt",300,10.9894319682959,14.0894319682959
47,"IG 1706 AGL","Ethiopia",300,7.40255591054313,10.5025559105431
48,"IG 1959 AGL","Ethiopia",300,11.0258302583026,14.1258302583026
49,"IG 4258 AGL","India",300,7.43502824858757,10.5350282485876
50,"IG 4781 AGL","Algeria",300,14.3639240506329,17.4639240506329
51,"IG 858 AGL","Algeria",300,9.36256684491978,12.4625668449198
52,"ILL 10657 AGL","Turkey",300,14.5578947368421,17.6578947368421
53,"ILL 10748 AGL","ICARDA",300,19.2369020501139,22.3369020501139
54,"ILL 11547 AGL","Ethiopia",300,11.4886363636364,14.5886363636364
55,"ILL 11548 AGL","Ethiopia",300,9.21763085399449,12.3176308539945
56,"ILL 11553 AGL","India",300,10.5551020408163,13.6551020408163
57,"ILL 11555 AGL","India",300,12.625,15.725
58,"ILL 11557 AGL","India",300,13.6078431372549,16.7078431372549
59,"ILL 11558 AGL","India",300,11.4081325301205,14.5081325301205
60,"ILL 1220 AGL","Iran",300,15,18.1
61,"ILL 1553 AGL","Iran",300,14.2700156985871,17.3700156985871
62,"ILL 1762 AGL","Afghanistan",300,8.14242728184553,11.2424272818455
63,"ILL 1983 AGL","Ethiopia",300,8.44253490870032,11.5425349087003
64,"ILL 213 AGL","Afghanistan",300,7.75205640423032,10.8520564042303
65,"ILL 2194 AGL","Pakistan",300,14.8520179372197,17.9520179372197
66,"PI 431893 LSP AGL","Iran",300,9.52844638949672,12.6284463894967
67,"ILL 2507 AGL","India",300,8.37609329446064,11.4760932944606
68,"ILL 2580 AGL","India",300,10.155,13.255
69,"ILL 28 AGL","Syria",300,23.3925619834711,26.4925619834711
70,"ILL 3025 AGL","India",300,7.51034482758621,10.6103448275862
71,"ILL 313 AGL","Israel",300,10.9728892331526,14.0728892331526
72,"ILL 3347 AGL","India",300,8.24420401854714,11.3442040185471
73,"ILL 358 AGL","Ethiopia",300,13.4736842105263,16.5736842105263
74,"ILL 3597 AGL","India",300,7.49664429530201,10.596644295302
75,"ILL 4164 AGL","India",300,13.1730769230769,16.2730769230769
76,"ILL 4400 AGL","Syria",300,19.510067114094,22.610067114094
77,"ILL 4605 AGL","Argentina",300,17.532,20.632
78,"ILL 4609 AGL","Netherlands",300,8.15779283639884,11.2577928363988
79,"ILL 4665 AGL","Hungary",300,19.3747680890538,22.4747680890538
80,"ILL 4671 AGL","USA",300,20.9516129032258,24.0516129032258
81,"ILL 4768 AGL","Yemen",300,10.6913793103448,13.7913793103448
82,"ILL 4782 AGL","Unknown",300,11.0229508196721,14.1229508196721
83,"ILL 4783 AGL","Czech Republic",300,18.7119565217391,21.8119565217391
84,"ILL 4804 AGL","Libya",300,10.3753753753754,13.4753753753754
85,"ILL 4875 AGL","Uzbekistan",300,8.17960288808664,11.2796028880866
86,"ILL 4956 AGL","Portugal",300,12.5892857142857,15.6892857142857
87,"ILL 5058 AGL","Spain",300,22.8610567514677,25.9610567514677
88,"ILL 5151 AGL","India",300,12.6325301204819,15.7325301204819
89,"ILL 5209 AGL","Jordan",300,13.8258992805755,16.9258992805755
90,"ILL 5480 AGL","Czech Republic",300,14.6917431192661,17.7917431192661
91,"ILL 5639 AGL","Ethiopia",300,11.0916905444126,14.1916905444126
92,"ILL 5722 AGL","Turkey",300,17.7096774193548,20.8096774193548
93,"ILL 5883 AGL","Jordan",300,15.5872756933116,18.6872756933116
94,"ILL 5888 AGL","Bangladesh",300,11.52,14.62
95,"ILL 5945 AGL","Ethiopia",300,9.5260663507109,12.6260663507109
96,"ILL 6002 AGL","ICARDA",300,18.4548551959114,21.5548551959114
97,"ILL 618 AGL","Tajikistan",300,8.51645569620253,11.6164556962025
98,"ILL 6182 AGL","Tunisia",300,8.39029535864979,11.4902953586498
99,"ILL 6211 AGL","ICARDA",300,17.9323671497585,21.0323671497585
100,"ILL 624 AGL","Macedonia",300,9.13793103448276,12.2379310344828
101,"ILL 6821 AGL","Ethiopia",300,12.0073349633252,15.1073349633252
102,"ILL 6853 AGL","Syria",300,22.4232283464567,25.5232283464567
103,"ILL 7089 AGL","Russia",300,15.5547945205479,18.6547945205479
104,"ILL 7558 AGL","India",300,18.9943342776204,22.0943342776204
105,"ILL 7663 AGL","ICARDA",300,12.0583333333333,15.1583333333333
106,"ILL 7668 AGL","ICARDA",300,10.4324758842444,13.5324758842444
107,"ILL 7716 AGL","India",300,17.3577127659574,20.4577127659574
108,"ILL 7747 AGL","Syria",300,10.4081632653061,13.5081632653061
109,"ILL 7946 AGL","Syria",300,12.3942307692308,15.4942307692308
110,"ILL 7978 AGL","Ethiopia",300,14.4217391304348,17.5217391304348
111,"ILL 7979 AGL","ICARDA",300,8.57739938080495,11.677399380805
112,"ILL 8007 AGL","Bangladesh",300,9.9841628959276,13.0841628959276
113,"ILL 8009 AGL","Bangladesh",300,7.06666666666667,10.1666666666667
114,"ILL 8010 AGL","Bangladesh",300,7.98439024390244,11.0843902439024
115,"ILL 8072 AGL","India",300,22.6016949152542,25.7016949152542
116,"ILL 8174 AGL","ICARDA",300,20.9462365591398,24.0462365591398
117,"ILL 8595 AGL","Ecuador",300,16.635499207607,19.735499207607
118,"ILL 9 AGL","Jordan",300,17.34375,20.44375
119,"ILL 975 AGL","Chile",300,12.0321715817694,15.1321715817694
