"Entry","Name","Origin","Source","Synonyms"
1,"CDC Asterix AGL","Canada","USASK","2861-15a;CDC Asterix"
2,"CDC Rosie AGL","Canada","USASK","3155-18;CDC Rosie"
3,"3156-11 AGL","Canada","USASK","3156-11"
4,"CDC Greenstar AGL","Canada","USASK","3339-3;3339-03;CDC Greenstar"
5,"CDC Cherie AGL","Canada","USASK","2702-10;CDC Cherie"
6,"CDC Glamis AGL","Canada","USASK","578-28;CDC Glamis"
7,"CDC Gold AGL","Canada","USASK","CDC Gold"
8,"CDC Imax AGL","Canada","USASK","IBC 187;CDC Imax"
9,"CDC Impower AGL","Canada","USASK","IBC 194;CDC Impower"
10,"CDC KR-1 AGL","Canada","USASK","2275s-15;CDC KR-1"
11,"CDC LeMay AGL","Canada","USASK","983-87;CDC LeMay"
12,"CDC Maxim AGL","Canada","USASK","3114;PI 663187;CDC Maxim"
13,"CDC QG-1 AGL","Canada","USASK","3056-12;CDC QG-1"
14,"CDC Red Rider AGL","Canada","USASK","1308M-7;CDC Red Rider"
15,"CDC Redcoat AGL","Canada","USASK","2154S-4;CDC Redcoat"
16,"CDC Redwing AGL","Canada","USASK","C8-L32-AR-R;CDC Redwing"
17,"CDC Robin AGL","Canada","USASK","599-23;W6 27758 LSP;W6 27758;W6 27758 SPC;CDC Robin"
18,"CDC Rosebud AGL","Canada","USASK","1788S-4;CDC Rosebud"
19,"CDC Rosetown AGL","Canada","USASK","1194-3;CDC Rosetown"
20,"CDC Rouleau AGL","Canada","USASK","1145-3-6;CDC Rouleau"
21,"CDC Royale AGL","Canada","USASK","FVR-9-G;CDC Royale"
22,"CDC Ruby AGL","Canada","USASK","1897T-30a;CDC Ruby"
23,"CDC SB-1 AGL","Canada","USASK","3020-6;CDC SB-1"
24,"CDC Sedley AGL","Canada","USASK","946-7Y;CDC Sedley"
25,"CDC Vantage AGL","Canada","USASK","638-23;CDC Vantage"
26,"CN 105604 AGL","Ethiopia","PGRC","VIR-952;CN 105604"
27,"CN 105605 AGL","Eritrea","PGRC","VIR-1012;CN 105605"
28,"CN 105715 AGL",NA,"PGRC","LENS 92;CN 105715"
29,"CN 105732 AGL",NA,"PGRC","LENS 113;CN 105732"
30,"CN 105767 AGL",NA,"PGRC","LENS 157;CN 105767"
31,"CN 105777 AGL",NA,"PGRC","LENS 170;B 47;CN 105777"
32,"CN 105789 AGL",NA,"PGRC","LENS 184;B 136;CN 105789"
33,"CN 105791 AGL",NA,"PGRC","LENS 190;B 32;CN 105791"
34,"CN 105862 AGL","Tunisia","PGRC","LENS 559;CN 105862"
35,"CN 105863 AGL","Tunisia","PGRC","LENS 561;CN 105863"
36,"CN 105864 AGL","Tunisia","PGRC","LENS 549;CN 105864"
37,"CN 105865 AGL","Tunisia","PGRC","LENS 551;CN 105865"
38,"CN 105895 AGL","Egypt","PGRC","37243;CN 105895"
39,"CN 106265 AGL",NA,"PGRC","PI 185601;IG 202;ILL 202;NEL 202;CN 106265"
40,"CN 108369 AGL","Libya","PGRC","VIR-2360;CN 108369"
41,"CN 108370 AGL","Libya","PGRC","VIR-2364;CN 108370"
42,"Crimson AGL","USA","USDA","PI 543920;CRIMSON;W6 11192;Selection #LC800024;Crimson"
43,"DPL 62 AGL","India","ICARDA","ILL 11556;DPL-62;Sheri;DPL 62;DPL-62_AGL;DPL-62 AGL"
44,"Eston AGL","Canada","USASK","PI 179307;P-468;NEL 927;Eston;ESTON UOFS;ESTON (UOFS);IG 176;IG 146189;W6 27759 LSP;W6 27759;ILL 176;NEL 176;IG 927;ILL 927"
45,"Gudo AGL","Ethiopia","ICARDA","AGG74170LENS;Gudo;GUDO;GUDO AGL"
46,"IG 1046 AGL","Egypt","ICARDA","P-454;ILL 1046;NEL 1046;PI 431679;PI 431679 LSP;RPIP 33-071-10458;IG 1046"
47,"IG 1706 AGL","Ethiopia","ICARDA","ILL 1706;NEL 1706;IG 1706"
48,"IG 1959 AGL","Ethiopia","ICARDA","ILL 1959;IG 1959"
49,"IG 4258 AGL","India","ICARDA","ILL 4258;IG 4258"
50,"IG 4781 AGL","Algeria","ICARDA","ILL 4781;II-3-32;IG 4781"
51,"IG 858 AGL","Algeria","ICARDA","ILL 858;NEL 858;IG 858"
52,"ILL 10657 AGL",NA,"ICARDA","AKM 302;IG 143547;PI 635040;OZBEK;TUR 01661;ILL 10657"
53,"ILL 10748 AGL","ICARDA","ICARDA","FLIP2010-18L;ILL 10748"
54,"ILL 11547 AGL","Ethiopia","ICARDA","Derash ;ILL 11547"
55,"ILL 11548 AGL","Ethiopia","ICARDA","Dembi;ILL 11548"
56,"ILL 11553 AGL","India","ICARDA","DPL 15;Priya;ILL 11553"
57,"ILL 11555 AGL","India","ICARDA","Angoori;IPL 406;ILL 11555"
58,"ILL 11557 AGL","India","ICARDA","DPL 58;ILL 11557"
59,"ILL 11558 AGL","India","ICARDA","EC208362;ILL 11558"
60,"ILL 1220 AGL","Iran","ICARDA","IG 1220;PI 612878;P-675;NEL 1220;L 1220;ILL 1220"
61,"ILL 1553 AGL","Iran","ICARDA","MCC-26;IG 1553;P-1013;NEL 1553;ILL 1553"
62,"ILL 1762 AGL","Afghanistan","ICARDA","IG 1762;ILL 1762"
63,"ILL 1983 AGL","Ethiopia","ICARDA","IG 1983;ILL 1983"
64,"ILL 213 AGL","Afghanistan","ICARDA","IG 213;PI 211602;PI 612873;PI 211602 LSP;NEL 213;ILL 213"
65,"ILL 2194 AGL","Pakistan","ICARDA","IG 2194;ILL 2194"
66,"PI 431893 LSP AGL","Iran","USDA","RPIP 33-071-10744;PI 431893;PI 431893 LSP"
67,"ILL 2507 AGL",NA,"ICARDA","IG 2507;LL 3;ILL 2507"
68,"ILL 2580 AGL",NA,"ICARDA","L 1278;IG 2580;ILL 2580"
69,"ILL 28 AGL","Syria","ICARDA","IG 28;Broad lentil;IG 30;ILL 30;ILL 28"
