"Entry","Name","a","b","c","d","RR","Environments","a_p.value","b_p.value","c_p.value","d_p.value"
1,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,
1,"CDC Asterix AGL",0.00723417528662226,-0.00120506085133948,-0.000319762347926833,0.000140348651057107,0.899852716834062,16,0.62854016365517,0.175562753571845,0.81297046379205,0.0832316779614101
2,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,
2,"CDC Rosie AGL",0.0210520754678107,-0.00176426807201225,-0.00154822410533619,0.000191994415738882,0.843624018090925,18,0.171539056722681,0.0547122395491393,0.263758813191547,0.0218101937664636
3,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,
3,"3156-11 AGL",0.0109797932823861,-0.00111715988018433,-0.000677309813931666,0.000134288180668609,0.885141808879971,16,0.398077822960303,0.147797141390055,0.564488105746141,0.0571157488068066
4,"CDC Greenstar AGL",-0.0155761876868996,0.00043387573354897,0.00169694600859008,,0.821626050198836,17,2.89587973302003e-16,1.04989582537782e-09,7.20466028264898e-26,
4,"CDC Greenstar AGL",-0.00742267373856518,-4.79068505765772e-05,0.000958171310179523,4.37054027858731e-05,0.819783389830772,17,0.659686937700507,0.961548697320775,0.530207477210421,0.627592306358932
5,"CDC Cherie AGL",-0.0176192833703764,0.000399878026996923,0.00191823044905302,,0.834109998729707,17,2.0684515844667e-17,3.9347632074347e-08,1.11946603017913e-26,
5,"CDC Cherie AGL",0.000920958045594847,-0.000695642035662026,0.000238304762264178,9.9383188673932e-05,0.831895987334656,17,0.95753361818311,0.496544630884479,0.878967598544177,0.285109074228012
6,"CDC Glamis AGL",-0.015795330674937,0.000387174791130001,0.00174328972671757,,0.835363134242019,17,1.47459477700281e-17,6.0824084738809e-09,2.49648951424983e-27,
6,"CDC Glamis AGL",0.0117581255002533,-0.0012421057231755,-0.000751856813123955,0.000147685571514862,0.830320673569424,17,0.441324836897681,0.171242197869276,0.585524139890605,0.0741390660018065
7,"CDC Gold AGL",-0.0183666755394779,0.000419699275220103,0.00191929037460369,,0.870283268381556,16,5.08989979638705e-19,1.57197914356152e-09,1.67475383383436e-27,
7,"CDC Gold AGL",-0.00990004403914718,-8.05873907836186e-05,0.00115168948057075,4.54057873406958e-05,0.869742945823435,16,0.551850496169129,0.934464855030939,0.445092723292272,0.609596314029406
8,"CDC Imax AGL",-0.0196375799928801,0.000285773889946566,0.00219856524564356,,0.910003697156336,16,1.76756276168778e-22,1.24248113096284e-06,1.0735730792949e-32,
8,"CDC Imax AGL",0.0056760777763417,-0.0012096024474681,-9.53650848746125e-05,0.000135683629201702,0.913235010747195,16,0.682736843862526,0.144085809653341,0.939451222378453,0.0720899911836618
9,"CDC Impower AGL",-0.0176941758818594,0.000388087608671607,0.00190826490963206,,0.876884855731317,17,1.43898450233903e-19,8.21622642501751e-09,8.07799065514134e-29,
9,"CDC Impower AGL",0.0127625381183469,-0.00141438510187256,-0.000847956475393243,0.000163234498101335,0.87422635941216,17,0.393804064415872,0.113245002393075,0.529947806213578,0.044858074889115
10,"CDC KR-1 AGL",-0.0152170268235521,0.000592169244761893,0.00149987929476354,,0.691337598972623,18,9.87486337781049e-10,2.66745891686007e-08,1.04845823535449e-15,
10,"CDC KR-1 AGL",0.00843539424937902,-0.000805427499114424,-0.000643222483875577,0.000126784426494383,0.682863390584859,18,0.745207632560756,0.599319528927951,0.784125511083266,0.362448249427316
11,"CDC LeMay AGL",-0.0172364237769695,0.000360122119602922,0.0019042655933346,,0.858800909415375,18,8.49991046339192e-19,5.62005134913443e-08,2.96916196105278e-28,
11,"CDC LeMay AGL",0.0160059569704514,-0.0016081092816827,-0.00110875638763772,0.000178491628518209,0.855389753466271,18,0.275668581175411,0.0672494694277532,0.40279768343909,0.0261285523360692
12,"CDC Maxim AGL",-0.0180532492907693,0.000377849395780002,0.0019799862035814,,0.814746563555786,18,4.20100085513011e-16,6.91372797903865e-07,1.35852685917879e-25,
12,"CDC Maxim AGL",0.00371280515478927,-0.000909494118168393,1.30031985863886e-06,0.000117122930768581,0.808722062900035,18,0.841542462666827,0.408654515075957,0.999384304453368,0.243095253964962
13,"CDC QG-1 AGL",-0.0171116325163288,0.00041194579067229,0.001799444536991,,0.904662716181344,17,4.60439962462864e-21,2.32221126102562e-11,6.11028364709163e-30,
13,"CDC QG-1 AGL",0.00660881485417399,-0.000989284835501984,-0.000350048921895429,0.000127138535580512,0.904266532019531,17,0.614619539862823,0.204707034660218,0.767992217651614,0.0743624957427112
14,"CDC Red Rider AGL",-0.0166256584592162,0.000391449191475835,0.00180769454025702,,0.837412835448887,16,2.42060322448924e-18,4.51374277951682e-09,3.77816965263167e-27,
14,"CDC Red Rider AGL",0.0105770875442895,-0.00121342010208487,-0.000658015634914041,0.000145609860222946,0.839039507250894,16,0.481730151498681,0.173985500483008,0.62822023241416,0.0737753020791509
15,"CDC Redcoat AGL",-0.0160647611504432,0.000286331004743166,0.00188380983661771,,0.91207946244166,15,1.25912052180674e-20,1.35487732807145e-07,3.70509291200732e-32,
15,"CDC Redcoat AGL",0.0097239044440008,-0.0012373403255089,-0.000452997191852519,0.000138234406352496,0.913414905006678,15,0.451163233899605,0.107823665014244,0.697422782386486,0.0487920659763255
16,"CDC Redwing AGL",-0.0173462215417338,0.000289989119241891,0.00199279358423723,,0.901421980399598,15,2.54077548892487e-20,1.82060482115539e-06,4.96300183343628e-31,
16,"CDC Redwing AGL",0.0169580115538918,-0.0017366598016998,-0.00111602086503958,0.000183893703429914,0.90181550964299,15,0.216617028972188,0.0347616696894535,0.367054592081801,0.0143490735368922
17,"CDC Robin AGL",-0.0193752049611241,0.000403179006686624,0.00204193040994993,,0.878606901964061,17,2.07306392252839e-21,6.34753729616707e-10,3.82433487700056e-30,
17,"CDC Robin AGL",0.00790436114688239,-0.00120660171518372,-0.000431141114217615,0.000146098707157147,0.881411508882719,17,0.590309759503111,0.16694533937416,0.745393688288761,0.0668938404776419
18,"CDC Rosebud AGL",-0.0169810942075596,0.000600202012235336,0.00164988741548377,,0.763848090350848,18,4.72840218139093e-11,1.97682341019907e-08,5.8898445711442e-17,
18,"CDC Rosebud AGL",0.00715211311648981,-0.000824150269666041,-0.000537781939832799,0.000129253179103564,0.757396243257338,18,0.78586002681093,0.595722049952498,0.821420659425288,0.359761126618245
19,"CDC Rosetown AGL",-0.015001295379388,0.000339324692472721,0.00171684228306684,,0.90268729148108,16,1.62716265424752e-20,3.11664735893009e-10,2.84627142775359e-31,
19,"CDC Rosetown AGL",0.00880942785620853,-0.00106623690667897,-0.00044145589303585,0.000127533068698506,0.906660067165346,16,0.47301012914115,0.144104978430663,0.690603866124768,0.0557152027081401
20,"CDC Rouleau AGL",-0.0172482068329264,0.000339959133811101,0.0019180355107852,,0.856067111134147,18,8.23384581410683e-19,8.28756702863527e-08,4.70027318714261e-28,
20,"CDC Rouleau AGL",0.00722901258716782,-0.00110483395616394,-0.000304207195503368,0.000131228463476619,0.852533937752155,18,0.637560360491579,0.225315382584277,0.826738783405055,0.114349651206768
21,"CDC Royale AGL",-0.0168158666703119,0.000431768810539494,0.00179921924317573,,0.84981604462289,17,3.67348610790853e-18,1.56862311824749e-10,3.45962594790751e-27,
21,"CDC Royale AGL",0.00629338720879049,-0.00093958193236081,-0.000295932876986271,0.000124485975606833,0.846287485960777,17,0.688859450775053,0.315214455831663,0.835143723021934,0.144400659851146
22,"CDC Ruby AGL",-0.0167468135460962,0.000623612369253648,0.00163748539985065,,0.744126417909377,18,1.04731042350368e-10,1.11676799322222e-08,6.98358204277774e-17,
22,"CDC Ruby AGL",0.00541526699102764,-0.000685921716102908,-0.000370579401253769,0.000118795731826254,0.737815279580193,18,0.837468572687824,0.659941870583918,0.876677547639433,0.401283139354556
23,"CDC SB-1 AGL",-0.0229206490203663,0.00050117372832556,0.00227755834883368,,0.827288926325741,18,4.6396714610983e-19,5.34828990452136e-09,1.08698296988225e-26,
23,"CDC SB-1 AGL",-0.00367765202590951,-0.000634480051447981,0.000533157493513924,0.000103058970086789,0.826190945438992,18,0.858798917971413,0.603011443333495,0.775762306664716,0.352629570163772
24,"CDC Sedley AGL",-0.0166220831432196,0.000436800006852478,0.0017926373874875,,0.792980534433901,18,5.24718012939962e-15,2.85713239035373e-08,9.77037864378177e-24,
24,"CDC Sedley AGL",0.00459948232153416,-0.000815705919499029,-0.000131092343737314,0.000113658941600373,0.789201840361236,18,0.812436918867625,0.476316270395171,0.940426179343452,0.275031178016616
25,"CDC Vantage AGL",-0.0177234394676013,0.000529634455620229,0.00179886419321869,,0.790577143486859,18,3.68248271792158e-13,2.5416470539763e-08,1.72990426346812e-20,
25,"CDC Vantage AGL",0.00264745954304851,-0.000674496950174528,-4.9826286621689e-05,0.000109389900753597,0.78568703951688,18,0.90699485324202,0.614545449037739,0.980638039846901,0.369194714429935
26,"CN 105604 AGL",-0.0190648234955032,0.000433815698055241,0.00211167493403117,,0.831745307019178,18,2.59643587094414e-17,3.80236546884762e-08,1.14433211358157e-26,
26,"CN 105604 AGL",-0.0226842372851851,0.000647356793275668,0.0024397333545077,-1.93675004684476e-05,0.833135175376244,18,0.256464899123199,0.580638839825811,0.178760655966017,0.854950921900507
27,"CN 105605 AGL",-0.0244338759991083,0.00057271246149762,0.00235566196926844,,0.825604489344944,18,9.62849467211694e-18,6.79903290036465e-09,7.77887515270508e-25,
27,"CN 105605 AGL",-0.0252837935355342,0.000622819666850033,0.00243274193184178,-4.54822278521001e-06,0.825728496450447,18,0.313983249883047,0.672230629272916,0.285064729720414,0.972777593361799
28,"CN 105715 AGL",-0.0253740373269967,0.000484004174355146,0.00254172422382636,,0.865354268543196,18,1.4220854477742e-22,1.3302546012337e-09,1.14774001185739e-30,
28,"CN 105715 AGL",-0.0197010254123842,0.000149212107248366,0.00202743816876971,3.03834146457576e-05,0.865087397908479,18,0.300470104940379,0.893553918047132,0.239938933259141,0.763692712348567
29,"CN 105732 AGL",-0.0193045423086255,0.000563888284380044,0.00188139465173836,,0.849415090754765,18,2.93376874934071e-16,2.62196824926704e-10,2.53294698366906e-23,
29,"CN 105732 AGL",-0.0150802639593037,0.000314319651940013,0.00149862615152096,2.26418435945529e-05,0.848849017263087,18,0.463930556781687,0.795344961039125,0.421397235420972,0.836526095892695
30,"CN 105767 AGL",-0.0235281745950061,0.000592602124569651,0.00229356367799264,,0.846763212932456,18,1.63277145870525e-17,1.65963518670678e-09,8.77604255841761e-25,
30,"CN 105767 AGL",-0.0141159409744436,3.70880457643317e-05,0.00144034699691496,5.04102542852154e-05,0.843705318274926,18,0.552278228917787,0.978824956752279,0.503078953103463,0.690704333972311
