"Temperate_Location","SouthAsian_Location","Mediterranean_Location","RR","Genotypes"
"Ro17","In16","Sp16",0.46177,159
"Su18","In16","Sp16",0.462242,159
"Ro16","In16","Sp16",0.466809,159
"Su17","In16","Sp16",0.469932,159
"Su16","In16","Sp16",0.473691,159
"Ro17","In16","It17",0.47592,159
"Su18","In16","It17",0.476053,159
"Ro16","In16","It17",0.47995,159
"Us18","In16","Sp16",0.486316,159
"Su17","In16","It17",0.487061,159
"Su16","In16","It17",0.487074,159
"Su18","In16","Mo17",0.487868,159
"Ro17","In16","Mo17",0.495733,159
"Su17","In16","Mo17",0.495821,159
"Ro16","In16","Mo17",0.499222,159
"Us18","In16","It17",0.501029,159
"Ro17","In16","Mo16",0.503506,159
"Su18","In16","Mo16",0.503975,159
"Us18","In16","Mo17",0.504435,159
"Ro17","In16","It16",0.506376,159
"Su18","In16","It16",0.506612,159
"Ro16","In16","Mo16",0.507464,159
"Ro16","In16","It16",0.511707,159
"Su16","In16","Mo17",0.511857,159
"Su16","In16","Mo16",0.513692,159
"Su17","In16","Mo16",0.514403,159
"Su17","In16","It16",0.51533,159
"Su16","In16","It16",0.518514,159
"Us18","In16","Mo16",0.526202,159
"Us18","In16","It16",0.529708,159
"Su18","In16","Sp17",0.531576,159
"Ro17","In16","Sp17",0.531836,159
"Ro16","In16","Sp17",0.536593,159
"Su17","In16","Sp17",0.538245,159
"Su16","In16","Sp17",0.543513,159
"Us18","In16","Sp17",0.552516,159
"Us18","Ne16","Mo17",0.567934,320
"Us18","Ne17","Mo17",0.581975,321
"Su18","Ne16","Mo17",0.586521,323
"Su18","Ne17","Mo17",0.594522,324
"Ro17","Ne16","Mo17",0.615514,323
"Ro17","Ne17","Mo17",0.619105,324
"Ro16","Ne16","Mo17",0.621999,323
"Ro16","Ne17","Mo17",0.623485,324
"Su18","Ne16","Sp16",0.635836,323
"Su16","Ne17","Mo17",0.642128,324
"Ro17","Ne16","Sp16",0.642538,323
"Su16","Ne16","Mo17",0.643456,323
"Ro16","Ne16","Sp16",0.648195,323
"Su17","Ne17","Mo17",0.648837,324
"Su17","Ne16","Mo17",0.651929,323
"Us18","Ne16","Sp16",0.652352,320
"Su18","Ne17","Sp16",0.655299,324
"Ro17","Ne17","Sp16",0.656482,324
"Su16","Ne16","Sp16",0.657142,323
"Su18","Ne16","It17",0.657387,323
"Su17","Ne16","Sp16",0.658371,323
"Ro16","Ne17","Sp16",0.659079,324
"Su17","Ne17","Sp16",0.660923,324
"Su16","Ne17","Sp16",0.663141,324
"Ro17","Ne16","It17",0.663458,323
"Us18","Ne16","It17",0.667633,320
"Ro16","Ne16","It17",0.667755,323
"Su18","Ne17","It17",0.668621,324
"Su18","Ne16","Mo16",0.668905,323
"Ro17","Ne17","It17",0.669336,324
"Us18","Ne17","Sp16",0.670332,321
"Ro16","Ne17","It17",0.67109,324
"Su17","Ne17","It17",0.673237,324
"Su16","Ne17","It17",0.674982,324
"Su16","Ne16","It17",0.675394,323
"Su17","Ne16","It17",0.675776,323
"Ro17","Ne16","Mo16",0.676486,323
"Su18","Ne16","It16",0.677248,323
