Entry,Name,Origin,Source,Lat,Lon,Synonyms
1,CDC Asterix AGL,Canada,USASK,52.137,-106.622,
2,CDC Rosie AGL,Canada,USASK,52.137,-106.622,
3,3156-11 AGL,Canada,USASK,52.137,-106.622,
4,CDC Greenstar AGL,Canada,USASK,52.137,-106.622,
5,CDC Cherie AGL,Canada,USASK,52.137,-106.622,
6,CDC Glamis AGL,Canada,USASK,52.137,-106.622,
7,CDC Gold AGL,Canada,USASK,52.137,-106.622,
8,CDC Imax AGL,Canada,USASK,52.137,-106.622,
9,CDC Impower AGL,Canada,USASK,52.137,-106.622,
10,CDC KR-1 AGL,Canada,USASK,52.137,-106.622,
11,CDC LeMay AGL,Canada,USASK,52.137,-106.622,
12,CDC Maxim AGL,Canada,USASK,52.137,-106.622,PI 663187
13,CDC QG-1 AGL,Canada,USASK,52.137,-106.622,
14,CDC Red Rider AGL,Canada,USASK,52.137,-106.622,
15,CDC Redcoat AGL,Canada,USASK,52.137,-106.622,
16,CDC Redwing AGL,Canada,USASK,52.137,-106.622,
17,CDC Robin AGL,Canada,USASK,52.137,-106.622,
18,CDC Rosebud AGL,Canada,USASK,52.137,-106.622,
19,CDC Rosetown AGL,Canada,USASK,52.137,-106.622,
20,CDC Rouleau AGL,Canada,USASK,52.137,-106.622,
21,CDC Royale AGL,Canada,USASK,52.137,-106.622,
22,CDC Ruby AGL,Canada,USASK,52.137,-106.622,
23,CDC SB-1 AGL,Canada,USASK,52.137,-106.622,
24,CDC Sedley AGL,Canada,USASK,52.137,-106.622,
25,CDC Vantage AGL,Canada,USASK,52.137,-106.622,
26,CN 105604 AGL,Ethiopia,PGRC,NA,NA,VIR-952
27,CN 105605 AGL,Eritrea,PGRC,NA,NA,VIR-1012
28,CN 105715 AGL,Ethiopia,PGRC,NA,NA,LENS 92
29,CN 105732 AGL,Ethiopia,PGRC,NA,NA,LENS 113
30,CN 105767 AGL,Libya,PGRC,NA,NA,LENS 157
31,CN 105777 AGL,Egypt,PGRC,NA,NA,LENS 170;B 47
32,CN 105789 AGL,Ethiopia,PGRC,NA,NA,LENS 184;B 136
33,CN 105791 AGL,Egypt,PGRC,NA,NA,LENS 190;B 32
34,CN 105862 AGL,Tunisia,PGRC,NA,NA,LENS 559
35,CN 105863 AGL,Tunisia,PGRC,NA,NA,LENS 561
36,CN 105864 AGL,Tunisia,PGRC,NA,NA,LENS 549
37,CN 105865 AGL,Tunisia,PGRC,NA,NA,LENS 551
38,CN 105895 AGL,Egypt,PGRC,NA,NA,
39,CN 106265 AGL,Egypt,PGRC,NA,NA,IG 202;ILL 202;PI 185601
40,CN 108369 AGL,Libya,PGRC,NA,NA,VIR-2360
41,CN 108370 AGL,Libya,PGRC,NA,NA,VIR-2364
42,Crimson AGL,USA,USDA,46.73,-117.16,PI 543920
43,DPL 62 AGL,India,ICARDA,NA,NA,ILL 11556;SHERI
