"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
1,"CDC Asterix AGL","Rosthern, Canada 2016","Ro16",47,0.0213226666666667,17.2,16.2,51.5573143706358
1,"CDC Asterix AGL","Rosthern, Canada 2017","Ro17",48.6666666666667,0.0205496666666667,17.5,16.4,50.2734148170369
1,"CDC Asterix AGL","Sutherland, Canada 2016","Su16",53.6666666666667,0.0186353333333333,16.7,15.9,53.6615032375774
1,"CDC Asterix AGL","Sutherland, Canada 2017","Su17",54.6666666666667,0.0183023333333333,15.7,16.1,53.5492084102068
1,"CDC Asterix AGL","Sutherland, Canada 2018","Su18",48,0.0208513333333333,17.6,16.1,51.7029568121471
1,"CDC Asterix AGL","Central Ferry, USA 2018","Us18",61,0.016398,15.8,14.3,65.7934719852753
1,"CDC Asterix AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,108.695619693525
1,"CDC Asterix AGL","Bhopal, India 2017","In17",77.5,0.0129685,20.6,10.7,101.390449814027
1,"CDC Asterix AGL","Jessore, Bangladesh 2016","Ba16",NA,0.009615,18.6,10.8,106.88388017722
1,"CDC Asterix AGL","Jessore, Bangladesh 2017","Ba17",92.3333333333333,0.010834,21.7,11,92.3020121838656
1,"CDC Asterix AGL","Bardiya, Nepal 2016","Ne16",123,0.00813066666666667,19.2,11,100.436120556478
1,"CDC Asterix AGL","Bardiya, Nepal 2017","Ne17",128,0.00781933333333333,19.4,10.8,103.769714819428
1,"CDC Asterix AGL","Cordoba, Spain 2016","Sp16",123.666666666667,0.00809233333333333,12.5,10.9,134.951665043846
1,"CDC Asterix AGL","Cordoba, Spain 2017","Sp17",133,0.00751933333333333,11.7,11.1,132.990513343382
1,"CDC Asterix AGL","Marchouch, Morocco 2016","Mo16",130,0.007692,12,10.8,142.054496595964
1,"CDC Asterix AGL","Marchouch, Morocco 2017","Mo17",123.666666666667,0.00808666666666667,11.8,11.5,119.982821428619
1,"CDC Asterix AGL","Metaponto, Italy 2016","It16",136.666666666667,0.007325,10.6,10.8,152.713835054784
1,"CDC Asterix AGL","Metaponto, Italy 2017","It17",144.333333333333,0.00692866666666667,11.2,10.8,147.955769868274
2,"CDC Rosie AGL","Rosthern, Canada 2016","Ro16",52.3333333333333,0.01911,17.2,16.2,55.2309120923926
2,"CDC Rosie AGL","Rosthern, Canada 2017","Ro17",51,0.019608,17.5,16.4,53.9647857630644
2,"CDC Rosie AGL","Sutherland, Canada 2016","Su16",57.3333333333333,0.01745,16.7,15.9,57.3065902578797
2,"CDC Rosie AGL","Sutherland, Canada 2017","Su17",59,0.016962,15.7,16.1,57.5005995079688
2,"CDC Rosie AGL","Sutherland, Canada 2018","Su18",50,0.02,17.6,16.1,55.2546164244655
2,"CDC Rosie AGL","Central Ferry, USA 2018","Us18",68,0.014719,15.8,14.3,68.4477231525849
2,"CDC Rosie AGL","Bhopal, India 2016","In16",77,0.013129,17.6,10.9,100.449007755036
2,"CDC Rosie AGL","Bhopal, India 2017","In17",75,0.013333,20.6,10.7,92.9515307788328
2,"CDC Rosie AGL","Jessore, Bangladesh 2016","Ba16",89,0.011237,18.6,10.8,98.3209923481671
2,"CDC Rosie AGL","Jessore, Bangladesh 2017","Ba17",86,0.0116373333333333,21.7,11,85.9303391384051
2,"CDC Rosie AGL","Bardiya, Nepal 2016","Ne16",124.5,0.0080355,19.2,11,93.3952245192312
2,"CDC Rosie AGL","Bardiya, Nepal 2017","Ne17",123.333333333333,0.00810966666666667,19.4,10.8,95.5254425221049
2,"CDC Rosie AGL","Cordoba, Spain 2016","Sp16",118.666666666667,0.008427,12.5,10.9,124.103376560316
2,"CDC Rosie AGL","Cordoba, Spain 2017","Sp17",124,0.00807333333333333,11.7,11.1,123.864574731627
2,"CDC Rosie AGL","Marchouch, Morocco 2016","Mo16",128,0.007812,12,10.8,129.614639730363
2,"CDC Rosie AGL","Marchouch, Morocco 2017","Mo17",118,0.00847566666666667,11.8,11.5,114.457026955833
2,"CDC Rosie AGL","Metaponto, Italy 2016","It16",128,0.007812,10.6,10.8,138.999023988022
2,"CDC Rosie AGL","Metaponto, Italy 2017","It17",138.5,0.00722,11.2,10.8,134.815756895038
3,"3156-11 AGL","Rosthern, Canada 2016","Ro16",54.3333333333333,0.0184066666666667,17.2,16.2,56.77998703309
3,"3156-11 AGL","Rosthern, Canada 2017","Ro17",52.6666666666667,0.018989,17.5,16.4,55.4507314420236
3,"3156-11 AGL","Sutherland, Canada 2016","Su16",59,0.0169593333333333,16.7,15.9,58.9645819411141
3,"3156-11 AGL","Sutherland, Canada 2017","Su17",60.6666666666667,0.0164843333333333,15.7,16.1,59.2357296241915
3,"3156-11 AGL","Sutherland, Canada 2018","Su18",54.6666666666667,0.0183103333333333,17.6,16.1,56.7788020560935
3,"3156-11 AGL","Central Ferry, USA 2018","Us18",71.5,0.0139925,15.8,14.3,70.6287392699169
3,"3156-11 AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,103.796595540151
3,"3156-11 AGL","Bhopal, India 2017","In17",NA,0.011765,20.6,10.7,95.4124838402073
3,"3156-11 AGL","Jessore, Bangladesh 2016","Ba16",90.6666666666667,0.0110296666666667,18.6,10.8,101.365594502454
3,"3156-11 AGL","Jessore, Bangladesh 2017","Ba17",88,0.011364,21.7,11,87.9971840901092
3,"3156-11 AGL","Bardiya, Nepal 2016","Ne16",122.333333333333,0.00817466666666667,19.2,11,96.1278639331559
3,"3156-11 AGL","Bardiya, Nepal 2017","Ne17",125.333333333333,0.00798333333333333,19.4,10.8,98.3007655352841
3,"3156-11 AGL","Cordoba, Spain 2016","Sp16",120,0.00834966666666667,12.5,10.9,130.320297016348
3,"3156-11 AGL","Cordoba, Spain 2017","Sp17",130.333333333333,0.00767266666666667,11.7,11.1,130.332783039361
3,"3156-11 AGL","Marchouch, Morocco 2016","Mo16",129.333333333333,0.007732,12,10.8,136.467699699328
3,"3156-11 AGL","Marchouch, Morocco 2017","Mo17",127,0.007874,11.8,11.5,120.122934554251
3,"3156-11 AGL","Metaponto, Italy 2016","It16",134,0.007463,10.6,10.8,147.286783097527
3,"3156-11 AGL","Metaponto, Italy 2017","It17",145.666666666667,0.006865,11.2,10.8,142.446879062306
4,"CDC Greenstar AGL","Rosthern, Canada 2016","Ro16",50.6666666666667,0.0197586666666667,17.2,16.2,53.8963505391969
4,"CDC Greenstar AGL","Rosthern, Canada 2017","Ro17",50.6666666666667,0.019749,17.5,16.4,52.6211875714527
4,"CDC Greenstar AGL","Sutherland, Canada 2016","Su16",56,0.017857,16.7,15.9,56.000448003584
4,"CDC Greenstar AGL","Sutherland, Canada 2017","Su17",56.6666666666667,0.0176516666666667,15.7,16.1,56.4449657123019
4,"CDC Greenstar AGL","Sutherland, Canada 2018","Su18",50,0.02,17.6,16.1,53.8240874784434
4,"CDC Greenstar AGL","Central Ferry, USA 2018","Us18",59.6666666666667,0.0167766666666667,15.8,14.3,66.9294982697092
4,"CDC Greenstar AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,95.8735080121853
4,"CDC Greenstar AGL","Bhopal, India 2017","In17",68,0.014706,20.6,10.7,87.1147490922194
4,"CDC Greenstar AGL","Jessore, Bangladesh 2016","Ba16",85.6666666666667,0.0116756666666667,18.6,10.8,93.2162552543216
4,"CDC Greenstar AGL","Jessore, Bangladesh 2017","Ba17",80.3333333333333,0.0124486666666667,21.7,11,80.3298880736893
4,"CDC Greenstar AGL","Bardiya, Nepal 2016","Ne16",118,0.008507,19.2,11,88.3893993469512
4,"CDC Greenstar AGL","Bardiya, Nepal 2017","Ne17",121,0.00827033333333333,19.4,10.8,90.1634199903568
4,"CDC Greenstar AGL","Cordoba, Spain 2016","Sp16",111,0.00901066666666667,12.5,10.9,123.231310963821
4,"CDC Greenstar AGL","Cordoba, Spain 2017","Sp17",124,0.008065,11.7,11.1,123.992560446373
4,"CDC Greenstar AGL","Marchouch, Morocco 2016","Mo16",119.666666666667,0.00835666666666667,12,10.8,129.347737497381
4,"CDC Greenstar AGL","Marchouch, Morocco 2017","Mo17",116.333333333333,0.00859666666666667,11.8,11.5,114.452860186415
4,"CDC Greenstar AGL","Metaponto, Italy 2016","It16",129.333333333333,0.007735,10.6,10.8,140.935472127439
4,"CDC Greenstar AGL","Metaponto, Italy 2017","It17",138.666666666667,0.00721133333333333,11.2,10.8,135.724472045796
5,"CDC Cherie AGL","Rosthern, Canada 2016","Ro16",49,0.0204136666666667,17.2,16.2,48.9915246177613
5,"CDC Cherie AGL","Rosthern, Canada 2017","Ro17",47.6666666666667,0.020981,17.5,16.4,47.7958677709678
5,"CDC Cherie AGL","Sutherland, Canada 2016","Su16",51,0.019628,16.7,15.9,50.9476258406358
5,"CDC Cherie AGL","Sutherland, Canada 2017","Su17",54.3333333333333,0.0184106666666667,15.7,16.1,50.8216853581607
5,"CDC Cherie AGL","Sutherland, Canada 2018","Su18",47.6666666666667,0.0209873333333333,17.6,16.1,49.1356132152052
5,"CDC Cherie AGL","Central Ferry, USA 2018","Us18",61,0.0163963333333333,15.8,14.3,62.2040846416922
5,"CDC Cherie AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,101.546982079177
5,"CDC Cherie AGL","Bhopal, India 2017","In17",67.3333333333333,0.0149326666666667,20.6,10.7,95.149717950405
5,"CDC Cherie AGL","Jessore, Bangladesh 2016","Ba16",97.5,0.0102565,18.6,10.8,99.989780425947
5,"CDC Cherie AGL","Jessore, Bangladesh 2017","Ba17",87,0.0115066666666667,21.7,11,86.9061413673233
5,"CDC Cherie AGL","Bardiya, Nepal 2016","Ne16",122.5,0.0081635,19.2,11,94.1774850760241
5,"CDC Cherie AGL","Bardiya, Nepal 2017","Ne17",125.333333333333,0.00797966666666667,19.4,10.8,97.2259901469778
5,"CDC Cherie AGL","Cordoba, Spain 2016","Sp16",112.333333333333,0.008906,12.5,10.9,124.451066020461
