"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
5075,2,"CDC Rosie AGL","1","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,11,50,50,70,92,"Su18",3.36363636363636,0.02,39,42,17.6,16.1,50
5446,2,"CDC Rosie AGL","2","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,12,50,50,70,87,"Su18",3.36363636363636,0.02,38,37,17.6,16.1,50
5690,2,"CDC Rosie AGL","3","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,13,50,50,72,93,"Su18",3.36363636363636,0.02,37,43,17.6,16.1,50
1245,2,"CDC Rosie AGL","1","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,128,128,150,174,"It16",3.03508771929825,0.007812,104,46,10.6,10.8,152.831823273855
1643,2,"CDC Rosie AGL","2","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,128,128,156,175,"It16",3.03508771929825,0.007812,104,47,10.6,10.8,152.831823273855
1840,2,"CDC Rosie AGL","3","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,128,128,150,175,"It16",3.03508771929825,0.007812,104,47,10.6,10.8,152.831823273855
1113,2,"CDC Rosie AGL","1","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,9,53,53,69,96,"Ro16",4.5,0.018868,44,43,17.2,16.2,50.5987084546111
1504,2,"CDC Rosie AGL","2","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,9,52,52,75,98,"Ro16",4.25,0.019231,43,46,17.2,16.2,50.5987084546111
1975,2,"CDC Rosie AGL","3","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,52,52,76,98,"Ro16",4.25,0.019231,44,46,17.2,16.2,50.5987084546111
314,2,"CDC Rosie AGL","1","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,15,56,56,76,97,"Su16",3.8,0.017857,41,41,16.7,15.9,52.89335634314
613,2,"CDC Rosie AGL","2","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,15,57,57,76,104,"Su16",4,0.017544,42,47,16.7,15.9,52.89335634314
928,2,"CDC Rosie AGL","3","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,59,59,76,103,"Su16",4.4,0.016949,46,44,16.7,15.9,52.89335634314
4190,2,"CDC Rosie AGL","1","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,118,118,127,156,"Sp16",3.6,0.008475,93,38,12.5,10.9,118.666192001899
4505,2,"CDC Rosie AGL","2","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,119,119,127,156,"Sp16",3.7,0.008403,94,37,12.5,10.9,118.666192001899
4771,2,"CDC Rosie AGL","3","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,119,119,127,NA,"Sp16",3.7,0.008403,94,NA,12.5,10.9,118.666192001899
2396,2,"CDC Rosie AGL","1","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,10,128,128,142,157,"Mo16",4.07246376811594,0.007812,118,29,12,10.8,127.650584730651
2533,2,"CDC Rosie AGL","2","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,11,128,128,142,157,"Mo16",4.07246376811594,0.007812,117,29,12,10.8,127.650584730651
3008,2,"CDC Rosie AGL","3","Marchouch, Morocco 2016","Marchouch, Morocco","2016",2016-11-21,11,128,128,143,157,"Mo16",4.07246376811594,0.007812,117,29,12,10.8,127.650584730651
3618,2,"CDC Rosie AGL","2","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-15,20,127,127,145,148,"Ne16",4.03157894736842,0.007874,107,21,19.2,11,67.8597686580652
2088,2,"CDC Rosie AGL","1","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,121,121,133,152,"Sp17",3.44897959183673,0.008264,100,31,11.7,11.1,125.727639230323
2411,2,"CDC Rosie AGL","2","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,121,121,137,154,"Sp17",3.44897959183673,0.008264,100,33,11.7,11.1,125.727639230323
2823,2,"CDC Rosie AGL","3","Cordoba, Spain 2017","Cordoba, Spain","2017",2017-12-14,21,130,130,134,154,"Sp17",4.18367346938776,0.007692,109,24,11.7,11.1,125.727639230323
2028,2,"CDC Rosie AGL","1","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-03,26,125,125,147,156,"Ne17",4.00917431192661,0.008,99,31,19.4,10.8,68.2296031113317
2361,2,"CDC Rosie AGL","2","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-04,8,121,121,144,153,"Ne17",3.86238532110092,0.008264,113,32,19.4,10.8,68.2296031113317
2694,2,"CDC Rosie AGL","3","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-05,22,124,124,144,150,"Ne17",3.97247706422018,0.008065,102,26,19.4,10.8,68.2296031113317
1250,2,"CDC Rosie AGL","1","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,16,120,120,136,166,"Mo17",3.56716417910448,0.008333,104,46,11.8,11.5,116.625758232341
1435,2,"CDC Rosie AGL","2","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,16,117,117,140,168,"Mo17",3.38805970149254,0.008547,101,51,11.8,11.5,116.625758232341
1776,2,"CDC Rosie AGL","3","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,16,117,117,140,166,"Mo17",3.38805970149254,0.008547,101,49,11.8,11.5,116.625758232341
400,2,"CDC Rosie AGL","2","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,139,139,159,174,"It17",4.01754385964912,0.007194,116,35,11.2,10.8,140.918181851513
699,2,"CDC Rosie AGL","3","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-29,22,138,138,152,173,"It17",3.94736842105263,0.007246,116,35,11.2,10.8,140.918181851513
2417,2,"CDC Rosie AGL","2","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,18,66,66,82,99,"Us18",3.66666666666667,0.015152,48,33,15.8,14.3,62.6486044031197
383,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,6,89,89,NA,NA,"Ba16",4.11111111111111,0.011236,83,NA,18.6,10.8,71.845138940832
443,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,7,90,90,NA,NA,"Ba16",4.16666666666667,0.011111,83,NA,18.6,10.8,71.845138940832
1008,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,6,88,88,NA,NA,"Ba16",4.05555555555556,0.011364,82,NA,18.6,10.8,71.845138940832
3952,2,"CDC Rosie AGL","3","Bardiya, Nepal 2016","Bardiya, Nepal","2016",2016-11-16,26,122,122,NA,NA,"Ne16",3.82105263157895,0.008197,96,NA,19.2,11,67.8597686580652
6389,2,"CDC Rosie AGL","1","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,51,51,68,NA,"Ro17",4.1304347826087,0.019608,42,NA,17.5,16.4,49.2508750619513
6463,2,"CDC Rosie AGL","2","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,10,51,51,67,NA,"Ro17",4.1304347826087,0.019608,41,NA,17.5,16.4,49.2508750619513
6846,2,"CDC Rosie AGL","3","Rosthern, Canada 2017","Rosthern, Canada","2017",2017-05-19,9,51,51,71,NA,"Ro17",4.1304347826087,0.019608,42,NA,17.5,16.4,49.2508750619513
5315,2,"CDC Rosie AGL","1","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,14,61,61,76,NA,"Su17",4.84,0.016393,47,NA,15.7,16.1,54.799701717702
5523,2,"CDC Rosie AGL","2","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,11,59,59,74,NA,"Su17",4.52,0.016949,48,NA,15.7,16.1,54.799701717702
6066,2,"CDC Rosie AGL","3","Sutherland, Canada 2017","Sutherland, Canada","2017",2017-05-04,12,57,57,74,NA,"Su17",4.2,0.017544,45,NA,15.7,16.1,54.799701717702
291,2,"CDC Rosie AGL","1","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,7,89,89,NA,NA,"Ba17",3.88524590163934,0.011236,82,NA,21.7,11,58.6814036352776
342,2,"CDC Rosie AGL","2","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,7,86,86,NA,NA,"Ba17",3.68852459016393,0.011628,79,NA,21.7,11,58.6814036352776
787,2,"CDC Rosie AGL","3","Jessore, Bangladesh 2017","Jessore, Bangladesh","2017",2017-12-03,6,83,83,NA,NA,"Ba17",3.49180327868852,0.012048,77,NA,21.7,11,58.6814036352776
2882,2,"CDC Rosie AGL","3","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,8,70,70,NA,NA,"Us18",4.2,0.014286,62,NA,15.8,14.3,62.6486044031197
5405,2,"CDC Rosie AGL","1","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,8,85,85,NA,NA,"In16",4.92592592592593,0.011765,77,NA,17.6,10.9,76.1672633102293
5502,2,"CDC Rosie AGL","2","Bhopal, India 2016","Bhopal, India","2016",2016-12-04,6,69,69,NA,NA,"In16",3.74074074074074,0.014493,63,NA,17.6,10.9,76.1672633102293
1053,2,"CDC Rosie AGL","1","Bhopal, India 2017","Bhopal, India","2017",2017-11-09,4,75,75,NA,NA,"In17",4.14893617021277,0.013333,71,NA,20.6,10.7,63.9770169080255
5119,8,"CDC Imax AGL","1","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,11,47,47,69,95,"Su18",2.81818181818182,0.021277,36,48,17.6,16.1,45.9854685919249
5387,8,"CDC Imax AGL","2","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,11,45,45,67,NA,"Su18",2.45454545454545,0.022222,34,NA,17.6,16.1,45.9854685919249
5879,8,"CDC Imax AGL","3","Sutherland, Canada 2018","Sutherland, Canada","2018",2018-05-09,12,46,46,69,92,"Su18",2.63636363636364,0.021739,34,46,17.6,16.1,45.9854685919249
1214,8,"CDC Imax AGL","1","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,133,133,150,174,"It16",3.3859649122807,0.007519,109,41,10.6,10.8,145.106290357687
1703,8,"CDC Imax AGL","2","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-29,24,128,128,146,175,"It16",3.03508771929825,0.007812,104,47,10.6,10.8,145.106290357687
1914,8,"CDC Imax AGL","3","Metaponto, Italy 2016","Metaponto, Italy","2016",2016-11-30,23,127,127,155,174,"It16",2.96491228070175,0.007874,104,47,10.6,10.8,145.106290357687
1352,8,"CDC Imax AGL","1","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,49,49,68,98,"Ro16",3.5,0.020408,41,49,17.2,16.2,46.1925768528997
1535,8,"CDC Imax AGL","2","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,8,48,48,68,100,"Ro16",3.25,0.020833,40,52,17.2,16.2,46.1925768528997
1829,8,"CDC Imax AGL","3","Rosthern, Canada 2016","Rosthern, Canada","2016",2016-05-06,9,43,43,68,97,"Ro16",2,0.023256,34,54,17.2,16.2,46.1925768528997
231,8,"CDC Imax AGL","1","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,15,54,54,72,96,"Su16",3.4,0.018519,39,42,16.7,15.9,48.2299604514324
522,8,"CDC Imax AGL","2","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,54,54,71,99,"Su16",3.4,0.018519,41,45,16.7,15.9,48.2299604514324
833,8,"CDC Imax AGL","3","Sutherland, Canada 2016","Sutherland, Canada","2016",2016-04-27,13,51,51,67,97,"Su16",2.8,0.019608,38,46,16.7,15.9,48.2299604514324
4216,8,"CDC Imax AGL","1","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,118,118,127,156,"Sp16",3.6,0.008475,93,38,12.5,10.9,118.666192001899
4503,8,"CDC Imax AGL","2","Cordoba, Spain 2016","Cordoba, Spain","2016",2016-12-13,25,119,119,127,143,"Sp16",3.7,0.008403,94,24,12.5,10.9,118.666192001899
