"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
5134,1,"CDC Asterix AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.021277,47,0.0200973209255064,49.7578758734381
5635,1,"CDC Asterix AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0200973209255064,49.7578758734381
5762,1,"CDC Asterix AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.021277,47,0.0200973209255064,49.7578758734381
1142,1,"CDC Asterix AGL","1","Metaponto, Italy 2016","It16",10.6,10.8,0.006993,143,0.00689518341348109,145.028774440554
1450,1,"CDC Asterix AGL","2","Metaponto, Italy 2016","It16",10.6,10.8,0.007519,133,0.00689518341348109,145.028774440554
1949,1,"CDC Asterix AGL","3","Metaponto, Italy 2016","It16",10.6,10.8,0.007463,134,0.00689518341348109,145.028774440554
1305,1,"CDC Asterix AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.2,0.020408,49,0.0201669922090957,49.5859764129319
1551,1,"CDC Asterix AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.2,0.022727,44,0.0201669922090957,49.5859764129319
1908,1,"CDC Asterix AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.2,0.020833,48,0.0201669922090957,49.5859764129319
387,1,"CDC Asterix AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.018868,53,0.0193847070420495,51.5870576651373
506,1,"CDC Asterix AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.018519,54,0.0193847070420495,51.5870576651373
754,1,"CDC Asterix AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.018519,54,0.0193847070420495,51.5870576651373
4228,1,"CDC Asterix AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.007874,127,0.00774045706615295,129.191337340109
4454,1,"CDC Asterix AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008,125,0.00774045706615295,129.191337340109
4788,1,"CDC Asterix AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00774045706615295,129.191337340109
2201,1,"CDC Asterix AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00736728920335747,135.73513573273
