"Location","Year","Expt","Date","DaysAfterPlanting","Temp_min","Temp_mean","Temp_max","DayLength","SunRise","MacroEnv"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-11-29,0,5.078,9.007,12.8,9.38,"07:00:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-11-30,1,5.067,8.69425,12.41,9.35,"07:01:12","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-01,2,1.48,9.025,16.02,9.33,"07:02:24","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-02,3,-1.2,9.0125,18.55,9.31,"07:03:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-03,4,2.228,9.372,16.4,9.29,"07:04:12","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-04,5,5.28,11.005,16.44,9.27,"07:04:48","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-05,6,3.38,10.535,17.76,9.26,"07:06:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-06,7,2.37,9.23,16.05,9.24,"07:07:12","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-07,8,4.219,11.63475,17.82,9.22,"07:07:48","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-08,9,2.886,9.799,16.91,9.21,"07:09:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-09,10,0.67,8.435,15.9,9.19,"07:09:36","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-10,11,1.004,9.2435,17.67,9.18,"07:10:12","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-11,12,-0.036,8.101,15.94,9.17,"07:11:24","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-12,13,2.239,9.53475,16.3,9.16,"07:12:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-13,14,2.43,9.5225,15.46,9.15,"07:12:36","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-14,15,-0.38,7.3175,14.55,9.14,"07:13:48","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-15,16,-1.392,7.517,15.76,9.13,"07:14:24","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-16,17,3.997,8.61175,12.85,9.13,"07:15:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-17,18,-0.624,6.209,12.96,9.12,"07:15:36","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-18,19,-1.363,6.67675,14.37,9.12,"07:16:12","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-19,20,-1.515,6.99625,15.2,9.12,"07:16:48","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-20,21,12.3,14.1475,15.81,9.12,"07:17:24","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-21,22,5.32,11.3225,17.67,9.11,"07:18:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-22,23,3.9,9.5765,15.34,9.12,"07:18:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-23,24,6.966,11.4365,15.88,9.12,"07:18:36","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-24,25,3.078,10.5245,18.12,9.12,"07:19:12","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-25,26,0.165,7.89125,15.2,9.12,"07:19:12","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-26,27,3.603,11.85575,19.52,9.13,"07:19:48","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-27,28,1.147,10.72175,19.84,9.14,"07:19:48","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-28,29,5.18,9.9825,14.55,9.14,"07:20:24","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-29,30,3.572,6.208,9.2,9.15,"07:20:24","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-30,31,-0.442,4.8495,9.24,9.16,"07:21:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2016-12-31,32,-0.016,6.5335,12.45,9.17,"07:21:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2017-01-01,33,-0.684,6.84,14.47,9.18,"07:21:00","Mediterranean"
"Metaponto, Italy","2016","Metaponto, Italy 2016",2017-01-02,34,-3.054,6.295,15.25,9.2,"07:21:00","Mediterranean"
