"Entry","Name","Origin","Source","Lat","Lon"
1,"CDC Asterix AGL","Canada","USASK",52.137,-106.622
2,"CDC Rosie AGL","Canada","USASK",52.137,-106.622
3,"3156-11 AGL","Canada","USASK",52.137,-106.622
4,"CDC Greenstar AGL","Canada","USASK",52.137,-106.622
5,"CDC Cherie AGL","Canada","USASK",52.137,-106.622
6,"CDC Glamis AGL","Canada","USASK",52.137,-106.622
7,"CDC Gold AGL","Canada","USASK",52.137,-106.622
8,"CDC Imax AGL","Canada","USASK",52.137,-106.622
9,"CDC Impower AGL","Canada","USASK",52.137,-106.622
10,"CDC KR-1 AGL","Canada","USASK",52.137,-106.622
11,"CDC LeMay AGL","Canada","USASK",52.137,-106.622
12,"CDC Maxim AGL","Canada","USASK",52.137,-106.622
13,"CDC QG-1 AGL","Canada","USASK",52.137,-106.622
14,"CDC Red Rider AGL","Canada","USASK",52.137,-106.622
15,"CDC Redcoat AGL","Canada","USASK",52.137,-106.622
16,"CDC Redwing AGL","Canada","USASK",52.137,-106.622
17,"CDC Robin AGL","Canada","USASK",52.137,-106.622
18,"CDC Rosebud AGL","Canada","USASK",52.137,-106.622
19,"CDC Rosetown AGL","Canada","USASK",52.137,-106.622
20,"CDC Rouleau AGL","Canada","USASK",52.137,-106.622
21,"CDC Royale AGL","Canada","USASK",52.137,-106.622
22,"CDC Ruby AGL","Canada","USASK",52.137,-106.622
23,"CDC SB-1 AGL","Canada","USASK",52.137,-106.622
24,"CDC Sedley AGL","Canada","USASK",52.137,-106.622
25,"CDC Vantage AGL","Canada","USASK",52.137,-106.622
26,"CN 105604 AGL","Ethiopia","PGRC",NA,NA
27,"CN 105605 AGL","Eritrea","PGRC",NA,NA
28,"CN 105715 AGL","Ethiopia","PGRC",NA,NA
29,"CN 105732 AGL","Ethiopia","PGRC",NA,NA
30,"CN 105767 AGL","Libya","PGRC",NA,NA
31,"CN 105777 AGL","Egypt","PGRC",NA,NA
32,"CN 105789 AGL","Ethiopia","PGRC",NA,NA
33,"CN 105791 AGL","Egypt","PGRC",NA,NA
34,"CN 105862 AGL","Tunisia","PGRC",NA,NA
35,"CN 105863 AGL","Tunisia","PGRC",NA,NA
36,"CN 105864 AGL","Tunisia","PGRC",NA,NA
37,"CN 105865 AGL","Tunisia","PGRC",NA,NA
38,"CN 105895 AGL","Egypt","PGRC",NA,NA
39,"CN 106265 AGL","Egypt","PGRC",NA,NA
40,"CN 108369 AGL","Libya","PGRC",NA,NA
41,"CN 108370 AGL","Libya","PGRC",NA,NA
42,"Crimson AGL","USA","USDA",46.73,-117.16
43,"DPL 62 AGL","India","ICARDA",NA,NA
44,"Eston AGL","Canada","USASK",52.137,-106.622
45,"Gudo AGL","Ethiopia","ICARDA",NA,NA
46,"IG 1046 AGL","Egypt","ICARDA",NA,NA
47,"IG 1706 AGL","Ethiopia","ICARDA",7.22,38.55
48,"IG 1959 AGL","Ethiopia","ICARDA",NA,NA
