"Entry","Expt","ExptShort","DTF","Name","a","b","c","RR","Environments","aP","bP","cP","Cluster","MacroEnv","T_mean","P_mean","T_mean2","DTF_1","DTF_0","Diff","Increase","P_mean2"
1,"Rosthern, Canada 2017","Ro17",48.6666666666667,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,"7","Temperate",17.5,16.4,19,47.0932804224448,48.2621226928332,1.16884227038845,"T",NA
1,"Sutherland, Canada 2017","Su17",54.6666666666667,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,"7","Temperate",15.7,16.1,17.2,49.9974744243129,51.316944056159,1.31946963184608,"T",NA
1,"Central Ferry, USA 2018","Us18",61,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,"7","Temperate",15.8,14.3,17.3,61.2093120211059,63.198684392111,1.9893723710051,"T",NA
1,"Bhopal, India 2017","In17",77.5,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,"7","South Asia",20.6,10.7,22.1,94.4534831445994,99.2757553816317,4.82227223703229,"T",NA
1,"Jessore, Bangladesh 2017","Ba17",92.3333333333333,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,"7","South Asia",21.7,11,23.2,86.3507792258949,90.363605497316,4.01282627142103,"T",NA
1,"Bardiya, Nepal 2017","Ne17",128,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,"7","South Asia",19.4,10.8,20.9,96.3275488799261,101.34816414081,5.02061526088409,"T",NA
1,"Cordoba, Spain 2017","Sp17",133,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,"7","Mediterranean",11.7,11.1,13.2,119.65086806395,127.496052122122,7.84518405817104,"T",NA
1,"Marchouch, Morocco 2017","Mo17",123.666666666667,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,"7","Mediterranean",11.8,11.5,13.3,108.5341242342,114.950154623078,6.41603038887749,"T",NA
1,"Metaponto, Italy 2017","It17",144.333333333333,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31,"7","Mediterranean",11.2,10.8,12.7,132.102007079075,141.730618126178,9.62861104710279,"T",NA
2,"Rosthern, Canada 2017","Ro17",51,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,"8","Temperate",17.5,16.4,19,50.5142155216591,51.9200713973889,1.40585587572979,"T",NA
2,"Sutherland, Canada 2017","Su17",59,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,"8","Temperate",15.7,16.1,17.2,53.6380626601619,55.225906705425,1.58784404526302,"T",NA
2,"Central Ferry, USA 2018","Us18",68,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,"8","Temperate",15.8,14.3,17.3,64.0160948941166,66.2908501274255,2.27475523330894,"T",NA
2,"Bhopal, India 2017","In17",75,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,"8","South Asia",20.6,10.7,22.1,89.1257954295879,93.5973537086531,4.47155827906525,"T",NA
2,"Jessore, Bangladesh 2017","Ba17",86,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,"8","South Asia",21.7,11,23.2,82.4886656886867,86.3047768696437,3.81611118095701,"T",NA
2,"Bardiya, Nepal 2017","Ne17",123.333333333333,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,"8","South Asia",19.4,10.8,20.9,91.2311686521314,95.9220403286854,4.69087167655405,"T",NA
2,"Cordoba, Spain 2017","Sp17",124,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,"8","Mediterranean",11.7,11.1,13.2,114.689185466507,122.201816067696,7.51263060118966,"T",NA
2,"Marchouch, Morocco 2017","Mo17",118,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,"8","Mediterranean",11.8,11.5,13.3,105.99350430894,112.378403042017,6.38489873307712,"T",NA
2,"Metaponto, Italy 2017","It17",138.5,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24,"8","Mediterranean",11.2,10.8,12.7,124.519822259632,133.42554969779,8.90572743815802,"T",NA
3,"Rosthern, Canada 2017","Ro17",52.6666666666667,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,"8","Temperate",17.5,16.4,19,52.736596200883,54.2853735771214,1.5487773762384,"T",NA
3,"Sutherland, Canada 2017","Su17",60.6666666666667,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,"8","Temperate",15.7,16.1,17.2,56.0710315280008,57.8251102691601,1.75407874115936,"T",NA
3,"Central Ferry, USA 2018","Us18",71.5,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,"8","Temperate",15.8,14.3,17.3,66.6671089677071,69.1615331249015,2.49442415719443,"T",NA
3,"Bhopal, India 2017","In17",NA,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,"8","South Asia",20.6,10.7,22.1,90.994182663134,95.7055255225522,4.71134285941817,"T",NA
3,"Jessore, Bangladesh 2017","Ba17",88,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,"8","South Asia",21.7,11,23.2,84.2822688602789,88.3088311742249,4.02656231394596,"T",NA
3,"Bardiya, Nepal 2017","Ne17",125.333333333333,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,"8","South Asia",19.4,10.8,20.9,93.3149250440577,98.2762028898436,4.96127784578583,"T",NA
3,"Cordoba, Spain 2017","Sp17",130.333333333333,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,"8","Mediterranean",11.7,11.1,13.2,118.796812397986,126.956103783705,8.15929138571903,"T",NA
3,"Marchouch, Morocco 2017","Mo17",127,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,"8","Mediterranean",11.8,11.5,13.3,109.990053991085,116.949009038162,6.95895504707651,"T",NA
3,"Metaponto, Italy 2017","It17",145.666666666667,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29,"8","Mediterranean",11.2,10.8,12.7,128.883345062493,138.543330999191,9.65998593669744,"T",NA
4,"Rosthern, Canada 2017","Ro17",50.6666666666667,"CDC Greenstar AGL",-0.0155761876868996,0.00043387573354897,0.00169694600859008,0.821626050198836,17,2.89587973302003e-16,1.04989582537782e-09,7.20466028264898e-26,"7","Temperate",17.5,16.4,19,48.7867568045826,50.3865855576271,1.59982875304447,"T",NA
4,"Sutherland, Canada 2017","Su17",56.6666666666667,"CDC Greenstar AGL",-0.0155761876868996,0.00043387573354897,0.00169694600859008,0.821626050198836,17,2.89587973302003e-16,1.04989582537782e-09,7.20466028264898e-26,"7","Temperate",15.7,16.1,17.2,52.0635229772477,53.8894957262975,1.82597274904983,"T",NA
