"Entry","Name","Expt","ExptShort","MacroEnv","DTF","Tb","Pc","Tf_0","Tf_5","Tf","Pf_0","Pf_7","Pf","PTT","PTT_0","predicted_DTF_Tf","predicted_DTF_Pf","predicted_Pf","predicted_Tf"
1,"CDC Asterix AGL","Rosthern, Canada 2016","Ro16","Temperate",47,-41.138149076263,6.36428327707908,812.4,567.4,2828.16666666667,787.866666666667,444.866666666667,476.033333333333,27546.5,13133.9333333333,55,55,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Rosthern, Canada 2017","Ro17","Temperate",48.6666666666667,-42.9358025229451,6.31421800995759,849.133333333333,600.8,2981.63333333333,814.233333333333,466.566666666667,500.633333333333,30057.6666666667,13922.6,48,48,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Sutherland, Canada 2016","Su16","Temperate",53.6666666666667,-39.9397134451417,6.44772538894822,896.8,623.466666666667,3080.2,862.5,479.9,510.066666666667,28801.9666666667,14212.3,51,52,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Sutherland, Canada 2017","Su17","Temperate",54.6666666666667,-41.138149076263,6.61460961268652,852.3,573.966666666667,3142.3,891.466666666667,501.8,523.266666666667,29577.7666666667,13689.4333333333,51,51,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Sutherland, Canada 2018","Su18","Temperate",48,-41.138149076263,6.29752958758376,864.533333333333,619.533333333333,2880.33333333333,788.566666666667,445.566666666667,480,28265.3666666667,13964.7,49,49,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Central Ferry, USA 2018","Us18","Temperate",61,-30.3522283961707,6.59792119031269,947.15,637.15,2829,815.466666666667,423.466666666667,461.15,21236.9,13041,56,56.3333333333333,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Bhopal, India 2016","In16","South Asia",NA,-9.97882266710742,6.29752958758376,1530.4,1095.4,2398.6,946.2,337.2,398.3,11027.4,16690.5,103,103,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Bhopal, India 2017","In17","South Asia",77.5,-8.78038703598605,5.79687691636888,1626.4,1233.9,2315.65,796.033333333333,327,385.95,11394.85,15670.5666666667,80,78.3333333333333,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Jessore, Bangladesh 2016","Ba16","South Asia",NA,-9.37960485154674,6.13064536384547,1949,1424,2933.8,1138.8,403.8,495.1,13849.7,21154.9,104,103,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Jessore, Bangladesh 2017","Ba17","South Asia",92.3333333333333,-10.5780404826681,5.61330427025676,1961.56666666667,1494.9,2948.83333333333,1018.23333333333,364.9,494.333333333333,15699.6333333333,21481.2,92,92,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Bardiya, Nepal 2016","Ne16","South Asia",123,-10.5780404826681,6.03051482960249,2212.1,1587.1,3534.4,1340.3,465.4,586.5,16670.3,23806,104,107,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Bardiya, Nepal 2017","Ne17","South Asia",128,-9.37960485154674,5.99713798485484,2428.16666666667,1788.16666666667,3628.76666666667,1364.36666666667,468.366666666667,596.733333333333,16957.2333333333,25922.2,106,110,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Cordoba, Spain 2016","Sp16","Mediterranean",123.666666666667,-9.97882266710742,7.14863912864905,1528.66666666667,905.333333333333,2772.66666666667,1346.1,473.433333333333,454.9,10567.1333333333,16955.6666666667,129,129,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Cordoba, Spain 2017","Sp17","Mediterranean",133,-11.1772582982288,7.28214650763969,1540.46666666667,870.466666666667,3038.23333333333,1472.73333333333,534.733333333333,496.9,11694.2333333333,17358,130,132,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Marchouch, Morocco 2016","Mo16","Mediterranean",130,-9.37960485154674,7.2320812405182,1514.6,859.6,2743.3,1388.5,471.5,441.1,9319.8,16136.5,137,139,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Marchouch, Morocco 2017","Mo17","Mediterranean",123.666666666667,-13.5741295604715,7.26545808526586,1420.33333333333,797,3112.56666666667,1393.7,521.033333333333,487.933333333333,12370.9666666667,16067.3,118,124,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Metaponto, Italy 2016","It16","Mediterranean",136.666666666667,-9.97882266710742,7.46571915375181,1402.6,712.6,2779.63333333333,1452.53333333333,486.533333333333,422.266666666667,8952.83333333333,15210.5,143,148,486.761247856594,2916.76011640221
1,"CDC Asterix AGL","Metaponto, Italy 2017","It17","Mediterranean",144.333333333333,-9.37960485154674,7.36558861950883,1565.83333333333,837.5,2932.1,1549.26666666667,529.6,476.366666666667,9967,17031.9666666667,145,147,486.761247856594,2916.76011640221
2,"CDC Rosie AGL","Rosthern, Canada 2016","Ro16","Temperate",52.3333333333333,-34.9706525935396,5.12658296930092,920.6,648.933333333333,2820.73333333333,876.433333333333,496.066666666667,597.833333333333,31117.8666666667,14929.9333333333,58,58,588.592830288726,2798.33273283382
2,"CDC Rosie AGL","Rosthern, Canada 2017","Ro17","Temperate",51,-36.3969353762203,5.06348187806371,900.6,640.6,2793.2,852.5,488.4,589.1,31647.6,14764.3,52,51,588.592830288726,2798.33273283382
2,"CDC Rosie AGL","Sutherland, Canada 2016","Su16","Temperate",57.3333333333333,-34.0197974050857,5.23175145469627,967.266666666667,675.6,2951.76666666667,923.1,514.766666666667,617.933333333333,31337.5666666667,15376.5666666667,55,55,588.592830288726,2798.33273283382
2,"CDC Rosie AGL","Sutherland, Canada 2017","Su17","Temperate",59,-34.9706525935396,5.44208842548697,928.333333333333,628.333333333333,3026.56666666667,962.733333333333,542.733333333333,636.166666666667,32135.8,14939.5666666667,55,55,588.592830288726,2798.33273283382
