"Entry","Name","Expt","ExptShort","MacroEnv","DTF","Tb","Pc","Tf_0","Tf_5","Tf","Pf_0","Pf_7","Pf","PTT","PTT_0","predicted_DTF_Tf","predicted_DTF_Pf","predicted_Pf","predicted_Tf"
1,"CDC Asterix AGL","Rosthern, Canada 2016","Ro16","Temperate",47,-42.6039458489308,6.34121769010391,812.4,567.4,2900,787.966666666667,444.966666666667,477.233333333333,28316.9,13135.5666666667,54,55,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Rosthern, Canada 2017","Ro17","Temperate",48.6666666666667,-43.8171574600423,6.29176217925117,849.133333333333,600.8,3025.36666666667,814.233333333333,466.566666666667,501.8,30566.9,13922.6,48,48,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Sutherland, Canada 2016","Su16","Temperate",53.6666666666667,-40.7841284322636,6.42364354152515,896.8,623.466666666667,3126.33333333333,862.5,479.833333333333,511.366666666667,29307.9666666667,14212.3,51,52,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Sutherland, Canada 2017","Su17","Temperate",54.6666666666667,-41.9973400433751,6.58849524436764,852.3,573.966666666667,3190.13333333333,891.466666666667,501.8,524.7,30110.6,13689.4333333333,51,52,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Sutherland, Canada 2018","Su18","Temperate",48,-41.9973400433751,6.27527700896692,864.533333333333,619.533333333333,2922.4,788.566666666667,445.566666666667,481.033333333333,28742.8,13964.7,49,49,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Central Ferry, USA 2018","Us18","Temperate",61,-31.078435543372,6.57201007408339,947.15,637.15,2874.05,815.466666666667,423.466666666667,462.75,21646.25,13041,56,56.3333333333333,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Bhopal, India 2016","In16","South Asia",NA,-10.4538381544772,6.27527700896692,1530.4,1095.4,2439.9,946.2,337.2,400.2,11270.9,16690.5,103,103,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Bhopal, India 2017","In17","South Asia",77.5,-9.24062654336576,5.78072190043946,1626.4,1233.9,2351.8,796.033333333333,327.033333333333,387.25,11610.5,15670.5666666667,80,78.3333333333333,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Jessore, Bangladesh 2016","Ba16","South Asia",NA,-9.84723234892149,6.11042530612443,1949,1424,2982.9,1138.8,403.8,497.2,14141.5,21154.9,104,103,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Jessore, Bangladesh 2017","Ba17","South Asia",92.3333333333333,-11.0604439600329,5.59938502731272,1961.53333333333,1494.86666666667,2993.83333333333,1018.23333333333,364.9,495.666666666667,15979.7333333333,21481.2,92,92,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Bardiya, Nepal 2016","Ne16","South Asia",123,-11.0604439600329,6.01151428441894,2212.1,1587.1,3594.7,1340.3,465.4,588.9,17021.5,23806,104,107,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Bardiya, Nepal 2017","Ne17","South Asia",128,-9.84723234892149,5.97854394385044,2428.16666666667,1788.16666666667,3688.6,1364.36666666667,468.366666666667,599.133333333333,17304.8333333333,25922.2,106,110,488.857347078738,2965.43704826534
1,"CDC Asterix AGL","Cordoba, Spain 2016","Sp16","Mediterranean",123.666666666667,-10.4538381544772,7.1160206934636,1528.63333333333,905.333333333333,2831.9,1346.1,473.433333333333,458.966666666667,10875.6,16955.6666666667,128,129,488.857347078738,2965.43704826534
