"Entry","Expt","ExptShort","DTF","Name","a","b","c","RR","Environments","aP","bP","cP","Cluster","MacroEnv","T_mean","P_mean","T_mean2","DTF_1","DTF_0","Diff","Increase","P_mean2"
1,"Rosthern, Canada 2017","Ro17",48.6666666666667,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31,"7","Temperate",17.5,16.4,19,47.2074377155898,48.3622720149379,1.1548342993481,"T",NA
1,"Sutherland, Canada 2017","Su17",54.6666666666667,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31,"7","Temperate",15.7,16.1,17.2,50.0940928442478,51.3964256590688,1.30233281482098,"T",NA
1,"Central Ferry, USA 2018","Us18",61,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31,"7","Temperate",15.8,14.3,17.3,61.2966710262216,63.2580207486172,1.96134972239559,"T",NA
1,"Bhopal, India 2017","In17",77.5,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31,"7","South Asia",20.6,10.7,22.1,94.6195840776218,99.3758305964465,4.75624651882474,"T",NA
1,"Jessore, Bangladesh 2017","Ba17",92.3333333333333,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31,"7","South Asia",21.7,11,23.2,86.5557098946154,90.5188297168106,3.96311982219524,"T",NA
1,"Bardiya, Nepal 2017","Ne17",128,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31,"7","South Asia",19.4,10.8,20.9,96.4456577624086,101.392056960723,4.94639919831415,"T",NA
1,"Cordoba, Spain 2017","Sp17",133,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31,"7","Mediterranean",11.7,11.1,13.2,119.251663394704,126.90678018893,7.65511679422529,"T",NA
1,"Marchouch, Morocco 2017","Mo17",123.666666666667,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31,"7","Mediterranean",11.8,11.5,13.3,108.253416775039,114.524500041428,6.27108326638891,"T",NA
1,"Metaponto, Italy 2017","It17",144.333333333333,"CDC Asterix AGL",-0.0187716662822634,0.000337218421340274,0.00204558652125348,0.897834658449581,16,2.4104450958207e-21,5.42892861278693e-08,3.67737730460217e-31,"7","Mediterranean",11.2,10.8,12.7,131.521110989358,140.894394051639,9.3732830622809,"T",NA
2,"Rosthern, Canada 2017","Ro17",51,"CDC Rosie AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598,0.8459236201684,18,1.99187258047008e-15,2.76437549481172e-07,1.07031693317471e-24,"8","Temperate",17.5,16.4,19,50.6320758204092,52.0247510526207,1.3926752322115,"T",NA
2,"Sutherland, Canada 2017","Su17",59,"CDC Rosie AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598,0.8459236201684,18,1.99187258047008e-15,2.76437549481172e-07,1.07031693317471e-24,"8","Temperate",15.7,16.1,17.2,53.7384442620455,55.3098996941326,1.57145543208701,"T",NA
2,"Central Ferry, USA 2018","Us18",68,"CDC Rosie AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598,0.8459236201684,18,1.99187258047008e-15,2.76437549481172e-07,1.07031693317471e-24,"8","Temperate",15.8,14.3,17.3,64.1003598475556,66.348941028027,2.24858118047145,"T",NA
2,"Bhopal, India 2017","In17",75,"CDC Rosie AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598,0.8459236201684,18,1.99187258047008e-15,2.76437549481172e-07,1.07031693317471e-24,"8","South Asia",20.6,10.7,22.1,89.2405344707462,93.6595800083582,4.41904553761199,"T",NA
2,"Jessore, Bangladesh 2017","Ba17",86,"CDC Rosie AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598,0.8459236201684,18,1.99187258047008e-15,2.76437549481172e-07,1.07031693317471e-24,"8","South Asia",21.7,11,23.2,82.6404283412258,86.4161646407615,3.77573629953571,"T",NA
2,"Bardiya, Nepal 2017","Ne17",123.333333333333,"CDC Rosie AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598,0.8459236201684,18,1.99187258047008e-15,2.76437549481172e-07,1.07031693317471e-24,"8","South Asia",19.4,10.8,20.9,91.3093475550699,95.9409733957927,4.63162584072275,"T",NA
2,"Cordoba, Spain 2017","Sp17",124,"CDC Rosie AGL",-0.0146750282064116,0.000352470560585572,0.00169075691987598,0.8459236201684,18,1.99187258047008e-15,2.76437549481172e-07,1.07031693317471e-24,"8","Mediterranean",11.7,11.1,13.2,114.351253838549,121.709593862827,7.35834002427765,"T",NA
