"Expt","ExptShort","MacroEnv","Entry","Name","Cluster","DTF_0","DTF_1","Difference","Treatment"
"Rosthern, Canada 2017","Ro17","Temperate",1,"CDC Asterix AGL","7",48.3622720149379,47.2074377155898,1.1548342993481,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",1,"CDC Asterix AGL","7",51.3964256590688,50.0940928442478,1.30233281482098,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",1,"CDC Asterix AGL","7",63.2580207486172,61.2966710262216,1.96134972239559,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",1,"CDC Asterix AGL","7",99.3758305964465,94.6195840776218,4.75624651882474,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",1,"CDC Asterix AGL","7",90.5188297168106,86.5557098946154,3.96311982219524,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",1,"CDC Asterix AGL","7",101.392056960723,96.4456577624086,4.94639919831415,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",1,"CDC Asterix AGL","7",126.90678018893,119.251663394704,7.65511679422529,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",1,"CDC Asterix AGL","7",114.524500041428,108.253416775039,6.27108326638891,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",1,"CDC Asterix AGL","7",140.894394051639,131.521110989358,9.3732830622809,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",2,"CDC Rosie AGL","8",52.0247510526207,50.6320758204092,1.3926752322115,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",2,"CDC Rosie AGL","8",55.3098996941326,53.7384442620455,1.57145543208701,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",2,"CDC Rosie AGL","8",66.348941028027,64.1003598475556,2.24858118047145,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",2,"CDC Rosie AGL","8",93.6595800083582,89.2405344707462,4.41904553761199,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",2,"CDC Rosie AGL","8",86.4161646407615,82.6404283412258,3.77573629953571,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",2,"CDC Rosie AGL","8",95.9409733957927,91.3093475550699,4.63162584072275,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",2,"CDC Rosie AGL","8",121.709593862827,114.351253838549,7.35834002427765,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",2,"CDC Rosie AGL","8",112.009313960658,105.746980071849,6.2623338888092,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",2,"CDC Rosie AGL","8",132.75246506676,124.046044860653,8.70642020610647,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",3,"3156-11 AGL","8",54.3898189115487,52.8536497537604,1.53616915778829,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",3,"3156-11 AGL","8",57.909404961715,56.1711679124368,1.73823704927822,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",3,"3156-11 AGL","8",69.2193382381995,66.7503038648691,2.46903437333036,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",3,"3156-11 AGL","8",95.762176328166,91.1003049786598,4.66187134950617,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",3,"3156-11 AGL","8",88.4126176649402,84.4239630617924,3.98865460314788,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",3,"3156-11 AGL","8",98.2920152739164,93.3868846913005,4.9051305826159,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",3,"3156-11 AGL","8",126.472925435935,118.466484376411,8.00644105952372,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",3,"3156-11 AGL","8",116.585754110706,109.748369516129,6.83738459457788,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",3,"3156-11 AGL","8",137.883217276601,128.420980000781,9.46223727581977,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",4,"CDC Greenstar AGL","7",50.4805902239776,48.8911217246793,1.58946849929828,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",4,"CDC Greenstar AGL","7",53.9664393295381,52.1538168494939,1.81262248004424,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",4,"CDC Greenstar AGL","7",64.3809783932007,61.8178578946214,2.56312049857938,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",4,"CDC Greenstar AGL","7",86.8618732927513,82.2601932724784,4.60168002027294,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",4,"CDC Greenstar AGL","7",80.0541246170003,76.1291900418441,3.92493457515619,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",4,"CDC Greenstar AGL","7",89.5557413063134,84.6722328365518,4.88350846976161,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",4,"CDC Greenstar AGL","7",119.516961280648,110.975098663369,8.54186261727928,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",4,"CDC Greenstar AGL","7",110.064288161885,102.778975215446,7.28531294643865,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",4,"CDC Greenstar AGL","7",130.794142736559,120.632797764079,10.16134497248,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",5,"CDC Cherie AGL","7",48.0910703894236,46.7593254949078,1.33174489451572,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",5,"CDC Cherie AGL","7",51.2543248760057,49.7443739053313,1.50995097067434,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",5,"CDC Cherie AGL","7",62.0575614470393,59.857662077255,2.1998993697843,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",5,"CDC Cherie AGL","7",89.7885181981131,85.2550628511069,4.53345534700621,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",5,"CDC Cherie AGL","7",82.3435554969323,78.5147002182957,3.82885527863654,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",5,"CDC Cherie AGL","7",92.1286540610311,87.3620830606673,4.76657100036375,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",5,"CDC Cherie AGL","7",119.232907179481,111.368823531551,7.86408364792975,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",5,"CDC Cherie AGL","7",108.814229194809,102.226474307903,6.5877548869062,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",5,"CDC Cherie AGL","7",131.2873937822,121.815963012858,9.47143076934196,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",6,"CDC Glamis AGL","8",51.2008381407145,49.7396389296593,1.46119921105517,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",6,"CDC Glamis AGL","8",54.5793999470172,52.9221205739918,1.65727937302542,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",6,"CDC Glamis AGL","8",65.6286280771294,63.2470578953972,2.38157018173217,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",6,"CDC Glamis AGL","8",92.3580627678239,87.7101862790861,4.64787648873777,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",6,"CDC Glamis AGL","8",84.9713691421937,81.0213272649977,3.95004187719599,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",6,"CDC Glamis AGL","8",94.8594377259731,89.963064469623,4.8963732563501,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",6,"CDC Glamis AGL","8",123.196646321735,115.063366882685,8.13327943904955,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",6,"CDC Glamis AGL","8",113.002792069228,106.122209838245,6.88058223098329,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",6,"CDC Glamis AGL","8",135.037272345277,125.327070127297,9.71020221797919,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",7,"CDC Gold AGL","7",48.9669160286704,47.5194511402351,1.44746488843525,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",7,"CDC Gold AGL","7",52.3509539992448,50.6998841875393,1.65106981170545,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",7,"CDC Gold AGL","7",63.6879844267967,61.2609544910945,2.42702993570214,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",7,"CDC Gold AGL","7",92.5188603878117,87.4839414245911,5.03491896322055,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",7,"CDC Gold AGL","7",84.4707715659152,80.2537514480281,4.21702011788712,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",7,"CDC Gold AGL","7",95.2184473174735,89.8938711069722,5.32457621050138,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",7,"CDC Gold AGL","7",126.862628580567,117.583366021982,9.27926255858445,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",7,"CDC Gold AGL","7",115.090019306482,107.400852858844,7.68916644763782,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",7,"CDC Gold AGL","7",140.814141118727,129.472937657152,11.341203461575,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",8,"CDC Imax AGL","7",46.7902298422886,45.8891970994595,0.901032742829017,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",8,"CDC Imax AGL","7",49.4758858635789,48.4695623673037,1.0063234962752,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",8,"CDC Imax AGL","7",61.3476705236723,59.8079844598576,1.53968606381474,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",8,"CDC Imax AGL","7",102.408970790567,98.1893136814611,4.21965710910609,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",8,"CDC Imax AGL","7",93.2048535497944,89.6966118802997,3.50824166949464,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",8,"CDC Imax AGL","7",103.649398622556,99.3290575200523,4.32034110250375,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",8,"CDC Imax AGL","7",122.694602326153,116.686714640623,6.00788768552987,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",8,"CDC Imax AGL","7",110.45214427299,105.559470169665,4.89267410332562,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",8,"CDC Imax AGL","7",135.982497347651,128.641756221356,7.3407411262956,"T + 1.5"
"Rosthern, Canada 2017","Ro17","Temperate",9,"CDC Impower AGL","7",49.1331442724606,47.7850621904865,1.34808208197406,"T + 1.5"
"Sutherland, Canada 2017","Su17","Temperate",9,"CDC Impower AGL","7",52.3729441219433,50.8439839099535,1.52896021198985,"T + 1.5"
"Central Ferry, USA 2018","Us18","Temperate",9,"CDC Impower AGL","7",63.6455067651993,61.4016386201438,2.24386814505549,"T + 1.5"
"Bhopal, India 2017","In17","South Asia",9,"CDC Impower AGL","7",93.3771923991081,88.6254915435164,4.75170085559166,"T + 1.5"
"Jessore, Bangladesh 2017","Ba17","South Asia",9,"CDC Impower AGL","7",85.4676513219008,81.4696121806431,3.99803914125773,"T + 1.5"
"Bardiya, Nepal 2017","Ne17","South Asia",9,"CDC Impower AGL","7",95.7862483421824,90.7927603843738,4.99348795780861,"T + 1.5"
"Cordoba, Spain 2017","Sp17","Mediterranean",9,"CDC Impower AGL","7",124.031666745282,115.785778884406,8.24588786087594,"T + 1.5"
"Marchouch, Morocco 2017","Mo17","Mediterranean",9,"CDC Impower AGL","7",112.857219446025,105.989065336308,6.86815410971624,"T + 1.5"
"Metaponto, Italy 2017","It17","Mediterranean",9,"CDC Impower AGL","7",136.96660057119,126.980384943146,9.98621562804405,"T + 1.5"
