"Expt","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
"Sutherland, Canada 2016",53.6666666666667,0.0186353333333333,16.7,15.9,50.2340335487112
"Sutherland, Canada 2017",54.6666666666667,0.0183023333333333,15.7,16.1,49.9854388042217
"Sutherland, Canada 2018",48,0.0208513333333333,17.6,16.1,48.4570205497967
"Metaponto, Italy 2016",136.666666666667,0.007325,10.6,10.9,142.771746153567
"Metaponto, Italy 2017",144.333333333333,0.00692866666666667,11.2,10.8,142.694524121323
"Rosthern, Canada 2016",47,0.0213226666666667,17.2,16.1,50.9068426097734
"Rosthern, Canada 2017",48.6666666666667,0.0205496666666667,17.5,16.4,49.1616986991945
"Bardiya, Nepal 2016",123,0.00813066666666667,19.2,11,89.4705854897522
"Bardiya, Nepal 2017",128,0.00781933333333333,19.4,10.8,91.8607882385664
"Cordoba, Spain 2016",123.666666666667,0.00809233333333333,12.5,10.9,129.869477183209
"Cordoba, Spain 2017",133,0.00751933333333333,11.7,11.1,127.59573150689
"Bhopal, India 2016",NA,0.011628,17.6,10.9,114.241511212831
"Bhopal, India 2017",77.5,0.0129685,20.6,10.7,110.613413862172
"Marchouch, Morocco 2016",130,0.007692,12,10.8,135.531347271573
"Marchouch, Morocco 2017",123.666666666667,0.00808666666666667,11.8,11.5,114.290829721514
"Jessore, Bangladesh 2016",NA,0.009615,18.6,10.8,103.492195551735
"Jessore, Bangladesh 2017",92.3333333333333,0.010834,21.7,11,89.5242513408082
"Central Ferry, USA 2018",61,0.016398,15.8,14.3,63.3461891935345
"Sutherland, Canada 2016",57.3333333333333,0.01745,16.7,15.9,54.471298319354
"Sutherland, Canada 2017",59,0.016962,15.7,16.1,54.4524409491682
"Sutherland, Canada 2018",50,0.02,17.6,16.1,52.5829676340772
"Metaponto, Italy 2016",128,0.007812,10.6,10.9,135.405338999763
"Metaponto, Italy 2017",138.5,0.00722,11.2,10.8,134.511136042242
"Rosthern, Canada 2016",52.3333333333333,0.01911,17.2,16.1,54.4027051738169
"Rosthern, Canada 2017",51,0.019608,17.5,16.4,52.6815292480595
"Bardiya, Nepal 2016",124.5,0.0080355,19.2,11,84.4366902372032
"Bardiya, Nepal 2017",123.333333333333,0.00810966666666667,19.4,10.8,85.9382515652828
"Cordoba, Spain 2016",118.666666666667,0.008427,12.5,10.9,123.564155999497
"Cordoba, Spain 2017",124,0.00807333333333333,11.7,11.1,122.779715484181
"Bhopal, India 2016",77,0.013129,17.6,10.9,106.038367406332
"Bhopal, India 2017",75,0.013333,20.6,10.7,100.647289854708
