"Entry","Name","a","b","c","RR","Environments"
1,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,18
2,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18
3,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,18
4,"CDC Greenstar AGL",-0.0155761876868996,0.00043387573354897,0.00169694600859008,0.821626050198836,18
5,"CDC Cherie AGL",-0.0176192833703764,0.000399878026996923,0.00191823044905302,0.834109998729707,18
6,"CDC Glamis AGL",-0.015795330674937,0.000387174791130001,0.00174328972671757,0.835363134242019,18
7,"CDC Gold AGL",-0.0183666755394779,0.000419699275220103,0.00191929037460369,0.870283268381556,18
8,"CDC Imax AGL",-0.0196375799928801,0.000285773889946566,0.00219856524564356,0.910003697156336,18
9,"CDC Impower AGL",-0.0176941758818594,0.000388087608671607,0.00190826490963206,0.876884855731317,18
10,"CDC KR-1 AGL",-0.0152170268235521,0.000592169244761893,0.00149987929476354,0.691337598972623,18
11,"CDC LeMay AGL",-0.0172364237769695,0.000360122119602922,0.0019042655933346,0.858800909415375,18
12,"CDC Maxim AGL",-0.0180532492907693,0.000377849395780002,0.0019799862035814,0.814746563555786,18
13,"CDC QG-1 AGL",-0.0171116325163288,0.00041194579067229,0.001799444536991,0.904662716181344,18
14,"CDC Red Rider AGL",-0.0166256584592162,0.000391449191475835,0.00180769454025702,0.837412835448887,18
15,"CDC Redcoat AGL",-0.0160647611504432,0.000286331004743166,0.00188380983661771,0.91207946244166,18
16,"CDC Redwing AGL",-0.0173462215417338,0.000289989119241891,0.00199279358423723,0.901421980399598,18
17,"CDC Robin AGL",-0.0193752049611241,0.000403179006686624,0.00204193040994993,0.878606901964061,18
18,"CDC Rosebud AGL",-0.0169810942075596,0.000600202012235336,0.00164988741548377,0.763848090350848,18
19,"CDC Rosetown AGL",-0.015001295379388,0.000339324692472721,0.00171684228306684,0.90268729148108,18
20,"CDC Rouleau AGL",-0.0172482068329264,0.000339959133811101,0.0019180355107852,0.856067111134147,18
21,"CDC Royale AGL",-0.0168158666703119,0.000431768810539494,0.00179921924317573,0.84981604462289,18
22,"CDC Ruby AGL",-0.0167468135460962,0.000623612369253648,0.00163748539985065,0.744126417909377,18
23,"CDC SB-1 AGL",-0.0229206490203663,0.00050117372832556,0.00227755834883368,0.827288926325741,18
24,"CDC Sedley AGL",-0.0166220831432196,0.000436800006852478,0.0017926373874875,0.792980534433901,18
25,"CDC Vantage AGL",-0.0177234394676013,0.000529634455620229,0.00179886419321869,0.790577143486859,18
26,"CN 105604 AGL",-0.0190648234955032,0.000433815698055241,0.00211167493403117,0.831745307019178,18
27,"CN 105605 AGL",-0.0244338759991083,0.00057271246149762,0.00235566196926844,0.825604489344944,18
28,"CN 105715 AGL",-0.0253740373269967,0.000484004174355146,0.00254172422382636,0.865354268543196,18
29,"CN 105732 AGL",-0.0193045423086255,0.000563888284380044,0.00188139465173836,0.849415090754765,18
30,"CN 105767 AGL",-0.0235281745950061,0.000592602124569651,0.00229356367799264,0.846763212932456,18
31,"CN 105777 AGL",-0.0205612972082617,0.00063139801200969,0.00208974526684819,0.841087817192973,18
32,"CN 105789 AGL",-0.0201672674542649,0.000441779275740531,0.00226803192182117,0.774434763526178,18
33,"CN 105791 AGL",-0.0180169547903203,0.00082825832364317,0.00169555557845805,0.786216597122472,18
34,"CN 105862 AGL",-0.0191589637198806,0.000318443175175419,0.0020986167380983,0.903156309897136,18
35,"CN 105863 AGL",-0.0195905979855745,0.000257477048511572,0.00222804744212641,0.889545834686599,18
36,"CN 105864 AGL",-0.0174983648256203,0.00023360491223763,0.00208677361824003,0.907630593359887,18
37,"CN 105865 AGL",-0.0192283153720974,0.000281421919075534,0.00215566128772864,0.915735314151392,18
38,"CN 105895 AGL",-0.0179663823879382,0.0005042626449919,0.00199103464746492,0.824525389175305,18
39,"CN 106265 AGL",-0.0179867412491336,0.000370779994963415,0.00195373151730382,0.874910185906082,18
40,"CN 108369 AGL",-0.0169136608116818,0.000423902966428132,0.00182736062106945,0.854301001218652,18
41,"CN 108370 AGL",-0.0168858524913996,0.000477641170750192,0.00170806922137551,0.836765982667282,18
42,"Crimson AGL",-0.0158538255355389,0.000511951286526586,0.00169547962703508,0.740064296011707,18
43,"DPL 62 AGL",-0.0192151639849073,0.00055899038014595,0.002055467219043,0.79328318117294,18
44,"Eston AGL",-0.0219574255855911,0.000400927673604543,0.00228222533988522,0.862463681322295,18
45,"Gudo AGL",-0.0204471092787469,0.000272915699686723,0.00237586060873038,0.902556427238785,18
46,"IG 1046 AGL",-0.0236979355067176,0.000474428140672156,0.00234920739764282,0.830266694049086,18
47,"IG 1706 AGL",-0.0247476525251934,0.000407846239803799,0.0025077116280587,0.895438036256348,18
48,"IG 1959 AGL",-0.022565775331704,0.000421041505028155,0.00233683069463197,0.81818134038106,18
49,"IG 4258 AGL",-0.0201590240267937,0.000413797856184473,0.00225452815706294,0.842062020193643,18
50,"IG 4781 AGL",-0.018444370624243,0.000363770587505456,0.00197200265095228,0.865149580367954,18
51,"IG 858 AGL",-0.0227048978441098,0.000432600511634893,0.00231618547020533,0.848916353704223,18
52,"ILL 10657 AGL",-0.0196110725764715,0.000501929699050402,0.00214365151743335,0.753843963397301,18
