"Entry","Name","Expt","DTF","RDTF","T_mean","P_mean","Predicted_RDTF","Predicted_DTF"
1,"CDC Asterix AGL","Rosthern, Canada 2016",47,0.0213226666666667,17.2,16.1,0.0200010102813057,49.9974744243128
1,"CDC Asterix AGL","Rosthern, Canada 2017",48.6666666666667,0.0205496666666667,17.5,16.4,0.0207201827065203,48.2621226928331
1,"CDC Asterix AGL","Sutherland, Canada 2016",53.6666666666667,0.0186353333333333,16.7,15.9,0.0194187081504002,51.496731515551
1,"CDC Asterix AGL","Sutherland, Canada 2017",54.6666666666667,0.0183023333333333,15.7,16.1,0.0194867410441597,51.3169440561588
1,"CDC Asterix AGL","Sutherland, Canada 2018",48,0.0208513333333333,17.6,16.1,0.0201381487445447,49.6569974075147
1,"CDC Asterix AGL","Central Ferry, USA 2018",61,0.016398,15.8,14.3,0.0158231141932574,63.1986843921108
1,"CDC Asterix AGL","Bhopal, India 2016",NA,0.011628,17.6,10.9,0.00945529339626519,105.760864109727
1,"CDC Asterix AGL","Bhopal, India 2017",77.5,0.0129685,20.6,10.7,0.0100729528187003,99.2757553816313
1,"CDC Asterix AGL","Jessore, Bangladesh 2016",NA,0.009615,18.6,10.8,0.00959270002843406,104.245936705606
1,"CDC Asterix AGL","Jessore, Bangladesh 2017",92.3333333333333,0.010834,21.7,11,0.0110664021703927,90.3636054973156
1,"CDC Asterix AGL","Bardiya, Nepal 2016",123,0.00813066666666667,19.2,11,0.0102092867751494,97.9500352986578
1,"CDC Asterix AGL","Bardiya, Nepal 2017",128,0.00781933333333333,19.4,10.8,0.00986697695491192,101.34816414081
1,"CDC Asterix AGL","Cordoba, Spain 2016",123.666666666667,0.00809233333333333,12.5,10.9,0.00770677798996884,129.755911134537
1,"CDC Asterix AGL","Cordoba, Spain 2017",133,0.00751933333333333,11.7,11.1,0.00784338011534788,127.496052122121
1,"CDC Asterix AGL","Marchouch, Morocco 2016",130,0.007692,12,10.8,0.00732991538499173,136.42722289094
1,"CDC Asterix AGL","Marchouch, Morocco 2017",123.666666666667,0.00808666666666667,11.8,11.5,0.00869942283487142,114.950154623077
1,"CDC Asterix AGL","Metaponto, Italy 2016",136.666666666667,0.007325,10.6,10.9,0.00705537028958393,141.736005192574
1,"CDC Asterix AGL","Metaponto, Italy 2017",144.333333333333,0.00692866666666667,11.2,10.8,0.00705563845851387,141.730618126177
2,"CDC Rosie AGL","Rosthern, Canada 2016",52.3333333333333,0.01911,17.2,16.1,0.0186434772324974,53.638062660162
2,"CDC Rosie AGL","Rosthern, Canada 2017",51,0.019608,17.5,16.4,0.0192603741305773,51.920071397389
2,"CDC Rosie AGL","Sutherland, Canada 2016",57.3333333333333,0.01745,16.7,15.9,0.0181250059401345,55.1723957113683
2,"CDC Rosie AGL","Sutherland, Canada 2017",59,0.016962,15.7,16.1,0.0181074437642826,55.2259067054251
2,"CDC Rosie AGL","Sutherland, Canada 2018",50,0.02,17.6,16.1,0.018786419490688,53.2299409419488
2,"CDC Rosie AGL","Central Ferry, USA 2018",68,0.014719,15.8,14.3,0.0150850381022084,66.2908501274257
2,"CDC Rosie AGL","Bhopal, India 2016",77,0.013129,17.6,10.9,0.00995178928044706,100.484442728783
2,"CDC Rosie AGL","Bhopal, India 2017",75,0.013333,20.6,10.7,0.0106840627472521,93.5973537086534
2,"CDC Rosie AGL","Jessore, Bangladesh 2016",89,0.011237,18.6,10.8,0.0101392481911113,98.6266418526635
2,"CDC Rosie AGL","Jessore, Bangladesh 2017",86,0.0116373333333333,21.7,11,0.0115868441617133,86.304776869644
2,"CDC Rosie AGL","Bardiya, Nepal 2016",124.5,0.0080355,19.2,11,0.0106934550480219,93.5151450592187
2,"CDC Rosie AGL","Bardiya, Nepal 2017",123.333333333333,0.00810966666666667,19.4,10.8,0.0104251327074925,95.9220403286858
2,"CDC Rosie AGL","Cordoba, Spain 2016",118.666666666667,0.008427,12.5,10.9,0.00812927548851664,123.012192342675
2,"CDC Rosie AGL","Cordoba, Spain 2017",124,0.00807333333333333,11.7,11.1,0.00818318444176004,122.201816067697
2,"CDC Rosie AGL","Marchouch, Morocco 2016",128,0.007812,12,10.8,0.00778070093096603,128.523125213584
2,"CDC Rosie AGL","Marchouch, Morocco 2017",118,0.00847566666666667,11.8,11.5,0.008898506945557,112.378403042018
2,"CDC Rosie AGL","Metaponto, Italy 2016",128,0.007812,10.6,10.9,0.00745029976211118,134.222787260929
2,"CDC Rosie AGL","Metaponto, Italy 2017",138.5,0.00722,11.2,10.8,0.00749481641458479,133.425549697791
3,"3156-11 AGL","Rosthern, Canada 2016",54.3333333333333,0.0184066666666667,17.2,16.1,0.0178345211912255,56.0710315280007
3,"3156-11 AGL","Rosthern, Canada 2017",52.6666666666667,0.018989,17.5,16.4,0.0184211682467163,54.2853735771214
3,"3156-11 AGL","Sutherland, Canada 2016",59,0.0169593333333333,16.7,15.9,0.0173352239503402,57.6860156444865
3,"3156-11 AGL","Sutherland, Canada 2017",60.6666666666667,0.0164843333333333,15.7,16.1,0.0172935251717683,57.8251102691601
3,"3156-11 AGL","Sutherland, Canada 2018",54.6666666666667,0.0183103333333333,17.6,16.1,0.017978786796414,55.6211056576663
3,"3156-11 AGL","Central Ferry, USA 2018",71.5,0.0139925,15.8,14.3,0.014458904463469,69.1615331249014
