"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
2,"CDC Rosie AGL","Rosthern, Canada 2016","Ro16",52.3333333333333,0.01911,17.2,16.1,50.9392803777897
2,"CDC Rosie AGL","Rosthern, Canada 2017","Ro17",51,0.019608,17.5,16.4,49.2508750619513
2,"CDC Rosie AGL","Sutherland, Canada 2016","Su16",57.3333333333333,0.01745,16.7,15.9,52.89335634314
2,"CDC Rosie AGL","Sutherland, Canada 2017","Su17",59,0.016962,15.7,16.1,54.799701717702
2,"CDC Rosie AGL","Sutherland, Canada 2018","Su18",50,0.02,17.6,16.1,50
2,"CDC Rosie AGL","Central Ferry, USA 2018","Us18",68,0.014719,15.8,14.3,62.6486044031197
2,"CDC Rosie AGL","Bhopal, India 2016","In16",77,0.013129,17.6,10.9,76.1672633102293
2,"CDC Rosie AGL","Bhopal, India 2017","In17",75,0.013333,20.6,10.7,63.9770169080255
2,"CDC Rosie AGL","Jessore, Bangladesh 2016","Ba16",89,0.011237,18.6,10.8,71.845138940832
2,"CDC Rosie AGL","Jessore, Bangladesh 2017","Ba17",86,0.0116373333333333,21.7,11,58.6814036352776
2,"CDC Rosie AGL","Bardiya, Nepal 2016","Ne16",124.5,0.0080355,19.2,11,67.8597686580652
2,"CDC Rosie AGL","Bardiya, Nepal 2017","Ne17",123.333333333333,0.00810966666666667,19.4,10.8,68.2296031113317
2,"CDC Rosie AGL","Cordoba, Spain 2016","Sp16",118.666666666667,0.008427,12.5,10.9,118.666192001899
2,"CDC Rosie AGL","Cordoba, Spain 2017","Sp17",124,0.00807333333333333,11.7,11.1,125.727639230323
2,"CDC Rosie AGL","Marchouch, Morocco 2016","Mo16",128,0.007812,12,10.8,127.650584730651
2,"CDC Rosie AGL","Marchouch, Morocco 2017","Mo17",118,0.00847566666666667,11.8,11.5,116.625758232341
2,"CDC Rosie AGL","Metaponto, Italy 2016","It16",128,0.007812,10.6,10.9,149.806573277445
2,"CDC Rosie AGL","Metaponto, Italy 2017","It17",138.5,0.00722,11.2,10.8,140.918181851513
8,"CDC Imax AGL","Rosthern, Canada 2016","Ro16",46.6666666666667,0.021499,17.2,16.1,46.5939800577765
8,"CDC Imax AGL","Rosthern, Canada 2017","Ro17",46.3333333333333,0.021585,17.5,16.4,44.975151228946
8,"CDC Imax AGL","Sutherland, Canada 2016","Su16",53,0.018882,16.7,15.9,48.2299604514324
8,"CDC Imax AGL","Sutherland, Canada 2017","Su17",53,0.0188726666666667,15.7,16.1,49.026817669265
8,"CDC Imax AGL","Sutherland, Canada 2018","Su18",46,0.021746,17.6,16.1,45.9854685919249
8,"CDC Imax AGL","Central Ferry, USA 2018","Us18",57.3333333333333,0.0174773333333333,15.8,14.3,58.4419379346619
8,"CDC Imax AGL","Bhopal, India 2016","In16",83,0.012048,17.6,10.9,83.0013280212483
8,"CDC Imax AGL","Bhopal, India 2017","In17",NA,0.011765,20.6,10.7,72.4375226367258
8,"CDC Imax AGL","Jessore, Bangladesh 2016","Ba16",NA,0.009615,18.6,10.8,79.5450025852125
8,"CDC Imax AGL","Jessore, Bangladesh 2017","Ba17",93,0.010754,21.7,11,66.0262124063253
8,"CDC Imax AGL","Bardiya, Nepal 2016","Ne16",123.333333333333,0.00811633333333333,19.2,11,74.791518641786
8,"CDC Imax AGL","Bardiya, Nepal 2017","Ne17",128.666666666667,0.00777666666666667,19.4,10.8,76.1063967426462
