"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
5134,1,"CDC Asterix AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.021277,47,0.0201381487445447,49.6569974075147
5635,1,"CDC Asterix AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0201381487445447,49.6569974075147
5762,1,"CDC Asterix AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.021277,47,0.0201381487445447,49.6569974075147
1142,1,"CDC Asterix AGL","1","Metaponto, Italy 2016","It16",10.6,10.9,0.006993,143,0.00705537028958393,141.736005192574
1450,1,"CDC Asterix AGL","2","Metaponto, Italy 2016","It16",10.6,10.9,0.007519,133,0.00705537028958393,141.736005192574
1949,1,"CDC Asterix AGL","3","Metaponto, Italy 2016","It16",10.6,10.9,0.007463,134,0.00705537028958393,141.736005192574
1305,1,"CDC Asterix AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.1,0.020408,49,0.0200010102813057,49.9974744243128
1551,1,"CDC Asterix AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.1,0.022727,44,0.0200010102813057,49.9974744243128
1908,1,"CDC Asterix AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.1,0.020833,48,0.0200010102813057,49.9974744243128
387,1,"CDC Asterix AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.018868,53,0.0194187081504002,51.496731515551
506,1,"CDC Asterix AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.018519,54,0.0194187081504002,51.496731515551
754,1,"CDC Asterix AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.018519,54,0.0194187081504002,51.496731515551
4228,1,"CDC Asterix AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.007874,127,0.00770677798996884,129.755911134537
4454,1,"CDC Asterix AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008,125,0.00770677798996884,129.755911134537
4788,1,"CDC Asterix AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00770677798996884,129.755911134537
2201,1,"CDC Asterix AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00732991538499173,136.42722289094
2612,1,"CDC Asterix AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00732991538499173,136.42722289094
