"Entry","Name","a","b","c","RR","Environments","aP","bP","cP"
1,"CDC Asterix AGL",-0.0189717073124489,0.000342846158097323,0.00205439525928451,0.899575730658294,16,2.49969616333963e-21,4.27708191429748e-08,5.15156870870389e-31
2,"CDC Rosie AGL",-0.0148564141744838,0.000357355645476555,0.00169896734812326,0.847985655625177,18,1.52681120875141e-15,2.03114805158564e-07,1.06197386305419e-24
3,"3156-11 AGL",-0.014045601201051,0.000360664012971414,0.00159482617199802,0.884738836950694,16,2.41070405004369e-18,2.40301955424484e-10,5.03741135403223e-29
4,"CDC Greenstar AGL",-0.0155761876868996,0.00043387573354897,0.00169694600859008,0.821626050198836,17,2.89587973302003e-16,1.04989582537782e-09,7.20466028264898e-26
5,"CDC Cherie AGL",-0.0176192833703764,0.000399878026996923,0.00191823044905302,0.834109998729707,17,2.0684515844667e-17,3.9347632074347e-08,1.11946603017913e-26
6,"CDC Glamis AGL",-0.015795330674937,0.000387174791130001,0.00174328972671757,0.835363134242019,17,1.47459477700281e-17,6.0824084738809e-09,2.49648951424983e-27
7,"CDC Gold AGL",-0.0183666755394779,0.000419699275220103,0.00191929037460369,0.870283268381556,16,5.08989979638705e-19,1.57197914356152e-09,1.67475383383436e-27
8,"CDC Imax AGL",-0.0196375799928801,0.000285773889946566,0.00219856524564356,0.910003697156336,16,1.76756276168778e-22,1.24248113096284e-06,1.0735730792949e-32
9,"CDC Impower AGL",-0.0176941758818594,0.000388087608671607,0.00190826490963206,0.876884855731317,17,1.43898450233903e-19,8.21622642501751e-09,8.07799065514134e-29
10,"CDC KR-1 AGL",-0.0152170268235521,0.000592169244761893,0.00149987929476354,0.691337598972623,18,9.87486337781049e-10,2.66745891686007e-08,1.04845823535449e-15
11,"CDC LeMay AGL",-0.0172364237769695,0.000360122119602922,0.0019042655933346,0.858800909415375,18,8.49991046339192e-19,5.62005134913443e-08,2.96916196105278e-28
