"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
5134,1,"CDC Asterix AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.021277,47,0.0206042865805694,48.5335901386188
5635,1,"CDC Asterix AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0206042865805694,48.5335901386188
5762,1,"CDC Asterix AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.021277,47,0.0206042865805694,48.5335901386188
1142,1,"CDC Asterix AGL","1","Metaponto, Italy 2016","It16",10.6,10.8,0.006993,143,0.00710019265062232,140.841248851515
1450,1,"CDC Asterix AGL","2","Metaponto, Italy 2016","It16",10.6,10.8,0.007519,133,0.00710019265062232,140.841248851515
1949,1,"CDC Asterix AGL","3","Metaponto, Italy 2016","It16",10.6,10.8,0.007463,134,0.00710019265062232,140.841248851515
1305,1,"CDC Asterix AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.2,0.020408,49,0.0203936906661179,49.0347733704425
1551,1,"CDC Asterix AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.2,0.022727,44,0.0203936906661179,49.0347733704425
1908,1,"CDC Asterix AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.2,0.020833,48,0.0203936906661179,49.0347733704425
387,1,"CDC Asterix AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.018868,53,0.0192578550293502,51.9268630112719
506,1,"CDC Asterix AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.018519,54,0.0192578550293502,51.9268630112719
754,1,"CDC Asterix AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.018519,54,0.0192578550293502,51.9268630112719
4228,1,"CDC Asterix AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.007874,127,0.0078272041784554,127.759539319612
4454,1,"CDC Asterix AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008,125,0.0078272041784554,127.759539319612
4788,1,"CDC Asterix AGL","3","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.0078272041784554,127.759539319612
2201,1,"CDC Asterix AGL","1","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00753056947259064,132.792082144617
2612,1,"CDC Asterix AGL","2","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00753056947259064,132.792082144617
2959,1,"CDC Asterix AGL","3","Marchouch, Morocco 2016","Mo16",12,10.8,0.007692,130,0.00753056947259064,132.792082144617
3900,1,"CDC Asterix AGL","3","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0102170358908809,97.8757450477917
6454,1,"CDC Asterix AGL","2","Rosthern, Canada 2017","Ro17",17.5,16.4,0.020408,49,0.0211378726924558,47.3084503133044
5403,1,"CDC Asterix AGL","1","Sutherland, Canada 2017","Su17",15.7,16.1,0.018182,55,0.0186130902668938,53.7256299550995
5588,1,"CDC Asterix AGL","2","Sutherland, Canada 2017","Su17",15.7,16.1,0.017857,56,0.0186130902668938,53.7256299550995
5958,1,"CDC Asterix AGL","3","Sutherland, Canada 2017","Su17",15.7,16.1,0.018868,53,0.0186130902668938,53.7256299550995
2210,1,"CDC Asterix AGL","1","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007519,133,0.00783359599012994,127.655294102474
2493,1,"CDC Asterix AGL","2","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007576,132,0.00783359599012994,127.655294102474
2912,1,"CDC Asterix AGL","3","Cordoba, Spain 2017","Sp17",11.7,11.1,0.007463,134,0.00783359599012994,127.655294102474
