"Entry","Name","a","b","c","d","RR","Environments","aP","bP","cP","dP"
1,"CDC Asterix AGL",0.00723417528662226,-0.00120506085133948,-0.000319762347926833,0.000140348651057107,0.899852716834062,16,0.62854016365517,0.175562753571845,0.81297046379205,0.0832316779614101
2,"CDC Rosie AGL",0.0210520754678107,-0.00176426807201225,-0.00154822410533619,0.000191994415738882,0.843624018090925,18,0.171539056722681,0.0547122395491393,0.263758813191547,0.0218101937664636
3,"3156-11 AGL",0.0109797932823861,-0.00111715988018433,-0.000677309813931666,0.000134288180668609,0.885141808879971,16,0.398077822960303,0.147797141390055,0.564488105746141,0.0571157488068066
4,"CDC Greenstar AGL",-0.00742267373856518,-4.79068505765772e-05,0.000958171310179523,4.37054027858731e-05,0.819783389830772,17,0.659686937700507,0.961548697320775,0.530207477210421,0.627592306358932
5,"CDC Cherie AGL",0.000920958045594847,-0.000695642035662026,0.000238304762264178,9.9383188673932e-05,0.831895987334656,17,0.95753361818311,0.496544630884479,0.878967598544177,0.285109074228012
6,"CDC Glamis AGL",0.0117581255002533,-0.0012421057231755,-0.000751856813123955,0.000147685571514862,0.830320673569424,17,0.441324836897681,0.171242197869276,0.585524139890605,0.0741390660018065
7,"CDC Gold AGL",-0.00990004403914718,-8.05873907836186e-05,0.00115168948057075,4.54057873406958e-05,0.869742945823435,16,0.551850496169129,0.934464855030939,0.445092723292272,0.609596314029406
8,"CDC Imax AGL",0.0056760777763417,-0.0012096024474681,-9.53650848746125e-05,0.000135683629201702,0.913235010747195,16,0.682736843862526,0.144085809653341,0.939451222378453,0.0720899911836618
9,"CDC Impower AGL",0.0127625381183469,-0.00141438510187256,-0.000847956475393243,0.000163234498101335,0.87422635941216,17,0.393804064415872,0.113245002393075,0.529947806213578,0.044858074889115
10,"CDC KR-1 AGL",0.00843539424937902,-0.000805427499114424,-0.000643222483875577,0.000126784426494383,0.682863390584859,18,0.745207632560756,0.599319528927951,0.784125511083266,0.362448249427316
11,"CDC LeMay AGL",0.0160059569704514,-0.0016081092816827,-0.00110875638763772,0.000178491628518209,0.855389753466271,18,0.275668581175411,0.0672494694277532,0.40279768343909,0.0261285523360692
12,"CDC Maxim AGL",0.00371280515478927,-0.000909494118168393,1.30031985863886e-06,0.000117122930768581,0.808722062900035,18,0.841542462666827,0.408654515075957,0.999384304453368,0.243095253964962
13,"CDC QG-1 AGL",0.00660881485417399,-0.000989284835501984,-0.000350048921895429,0.000127138535580512,0.904266532019531,17,0.614619539862823,0.204707034660218,0.767992217651614,0.0743624957427112
14,"CDC Red Rider AGL",0.0105770875442895,-0.00121342010208487,-0.000658015634914041,0.000145609860222946,0.839039507250894,16,0.481730151498681,0.173985500483008,0.62822023241416,0.0737753020791509
15,"CDC Redcoat AGL",0.0097239044440008,-0.0012373403255089,-0.000452997191852519,0.000138234406352496,0.913414905006678,15,0.451163233899605,0.107823665014244,0.697422782386486,0.0487920659763255
16,"CDC Redwing AGL",0.0169580115538918,-0.0017366598016998,-0.00111602086503958,0.000183893703429914,0.90181550964299,15,0.216617028972188,0.0347616696894535,0.367054592081801,0.0143490735368922
17,"CDC Robin AGL",0.00790436114688239,-0.00120660171518372,-0.000431141114217615,0.000146098707157147,0.881411508882719,17,0.590309759503111,0.16694533937416,0.745393688288761,0.0668938404776419
18,"CDC Rosebud AGL",0.00715211311648981,-0.000824150269666041,-0.000537781939832799,0.000129253179103564,0.757396243257338,18,0.78586002681093,0.595722049952498,0.821420659425288,0.359761126618245
19,"CDC Rosetown AGL",0.00880942785620853,-0.00106623690667897,-0.00044145589303585,0.000127533068698506,0.906660067165346,16,0.47301012914115,0.144104978430663,0.690603866124768,0.0557152027081401
20,"CDC Rouleau AGL",0.00722901258716782,-0.00110483395616394,-0.000304207195503368,0.000131228463476619,0.852533937752155,18,0.637560360491579,0.225315382584277,0.826738783405055,0.114349651206768
21,"CDC Royale AGL",0.00629338720879049,-0.00093958193236081,-0.000295932876986271,0.000124485975606833,0.846287485960777,17,0.688859450775053,0.315214455831663,0.835143723021934,0.144400659851146
22,"CDC Ruby AGL",0.00541526699102764,-0.000685921716102908,-0.000370579401253769,0.000118795731826254,0.737815279580193,18,0.837468572687824,0.659941870583918,0.876677547639433,0.401283139354556
23,"CDC SB-1 AGL",-0.00367765202590951,-0.000634480051447981,0.000533157493513924,0.000103058970086789,0.826190945438992,18,0.858798917971413,0.603011443333495,0.775762306664716,0.352629570163772
24,"CDC Sedley AGL",0.00459948232153416,-0.000815705919499029,-0.000131092343737314,0.000113658941600373,0.789201840361236,18,0.812436918867625,0.476316270395171,0.940426179343452,0.275031178016616
25,"CDC Vantage AGL",0.00264745954304851,-0.000674496950174528,-4.9826286621689e-05,0.000109389900753597,0.78568703951688,18,0.90699485324202,0.614545449037739,0.980638039846901,0.369194714429935
26,"CN 105604 AGL",-0.0226842372851851,0.000647356793275668,0.0024397333545077,-1.93675004684476e-05,0.833135175376244,18,0.256464899123199,0.580638839825811,0.178760655966017,0.854950921900507
27,"CN 105605 AGL",-0.0252837935355342,0.000622819666850033,0.00243274193184178,-4.54822278521001e-06,0.825728496450447,18,0.313983249883047,0.672230629272916,0.285064729720414,0.972777593361799
28,"CN 105715 AGL",-0.0197010254123842,0.000149212107248366,0.00202743816876971,3.03834146457576e-05,0.865087397908479,18,0.300470104940379,0.893553918047132,0.239938933259141,0.763692712348567
29,"CN 105732 AGL",-0.0150802639593037,0.000314319651940013,0.00149862615152096,2.26418435945529e-05,0.848849017263087,18,0.463930556781687,0.795344961039125,0.421397235420972,0.836526095892695
30,"CN 105767 AGL",-0.0141159409744436,3.70880457643317e-05,0.00144034699691496,5.04102542852154e-05,0.843705318274926,18,0.552278228917787,0.978824956752279,0.503078953103463,0.690704333972311
31,"CN 105777 AGL",-0.0298220899490341,0.0011785667364655,0.00292886377568872,-4.96390545558557e-05,0.846465093138893,18,0.147205160589851,0.32875945007501,0.116294872839409,0.648415060739157
32,"CN 105789 AGL",-0.00502460532233779,-0.000452002982638525,0.000895373718101053,8.11036918039872e-05,0.767378520454266,18,0.834758860493372,0.750295658221372,0.681503236773962,0.529083717925563
33,"CN 105791 AGL",-0.0169382042772732,0.000764618282324553,0.0015978526179583,5.77069668650463e-06,0.785445451629214,18,0.55806185227352,0.65333518032281,0.541256199616895,0.970098105109044
34,"CN 105862 AGL",-0.00702800236862597,-0.000394842199758367,0.000998121977792654,6.47952209748748e-05,0.902837392689948,15,0.644043761221909,0.658517111173274,0.469639215514855,0.424925252078714
35,"CN 105863 AGL",0.000728654724323963,-0.000943166274122921,0.000386957834896421,0.000108917594257071,0.889436184081933,14,0.961600549888344,0.293602351654122,0.777553461858939,0.18196614107289
36,"CN 105864 AGL",0.000311837569816909,-0.000818781259938553,0.000473024382426424,9.54682943235191e-05,0.906057838044647,14,0.98193457136172,0.316117504150555,0.704393472204417,0.198264810281031
37,"CN 105865 AGL",-0.00632918267932222,-0.000480774297314466,0.000986894922055159,6.91434139315269e-05,0.915431648311602,14,0.638895249609625,0.546094876320731,0.419655588901879,0.339080544000654
38,"CN 105895 AGL",-0.021539106393306,0.000715402830936096,0.00231471514503368,-1.91507138754323e-05,0.826238724427746,18,0.269085309555922,0.532182315039726,0.190362460159885,0.853192948342833
39,"CN 106265 AGL",0.00335343862048369,-0.000890322986774747,1.72917984860118e-05,0.000114504802754491,0.871801434867426,17,0.848278040748194,0.391241845660959,0.991311211461039,0.225601127973517
40,"CN 108369 AGL",-0.00623839487001306,-0.000204266466494308,0.000857651338835342,5.71217999513988e-05,0.851885109191064,17,0.714862008718639,0.838640527694299,0.580147606017796,0.531299985166278
41,"CN 108370 AGL",0.0154020770266605,-0.00142590575636599,-0.00122015886212602,0.000172784641365143,0.838706696535481,17,0.385805618142813,0.175175453104797,0.447666158015948,0.0719543339194864
42,"Crimson AGL",0.0089141574327513,-0.000952830351141282,-0.000547272742609562,0.000132759881412562,0.72752413488473,18,0.73851033362044,0.546299023005176,0.820622268202969,0.354037555432576
43,"DPL 62 AGL",-0.039473384065913,0.00175471392842253,0.00389184260302056,-0.000108502482828502,0.807498505858222,18,0.108116045709278,0.223009727619977,0.0808299152087501,0.403626608721015
44,"Eston AGL",-0.00216669044132644,-0.00077026621349439,0.000491212406605442,0.000106067798694442,0.867791561217181,18,0.891713594321166,0.414579473771134,0.732841556285895,0.216071698586225
45,"Gudo AGL",-0.00481926123236393,-0.00065095402245488,0.000960980477835221,8.36899466190768e-05,0.900011341203641,18,0.736030837567845,0.441862316490782,0.458282368681431,0.275777102336254
46,"IG 1046 AGL",-0.00433149129653476,-0.000670741089003165,0.000595448596829225,0.000103803470722735,0.829182389745263,17,0.833485204915245,0.581955713380291,0.749321734303683,0.347807450766189
47,"IG 1706 AGL",-0.0199234551988171,0.000123285541469905,0.00207040037805077,2.58217499076083e-05,0.89608924337881,16,0.169144582236037,0.884026636046722,0.115573741484575,0.736054071526849
48,"IG 1959 AGL",-0.0202410639697602,0.000283673691409218,0.00212619821115619,1.24610704349841e-05,0.817637715924412,17,0.358851727385904,0.826785684325695,0.287438278749142,0.915441739715296
49,"IG 4258 AGL",-0.0257453088251192,0.000744123928942922,0.00276040295899292,-2.99422931860118e-05,0.844168491883161,18,0.179903897434847,0.508626737659707,0.113111440622709,0.768387394762351
50,"IG 4781 AGL",0.000798201872802239,-0.000773810764808658,0.000228380794819824,0.000103228352050789,0.865148340761667,15,0.956119387386555,0.368567240599244,0.861879294447869,0.18762392578899
51,"IG 858 AGL",-0.0167105196280294,7.77769617655696e-05,0.00177376814561087,3.21283998429637e-05,0.848140500821977,18,0.38948868756789,0.945771982449319,0.312806474200577,0.755987213001767
