"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_RDTF","Predicted_DTF"
1,"CDC Asterix AGL","Rosthern, Canada 2016","Ro16",47,0.0213226666666667,17.2,16.1,0.0202243032926952,49.4454610142831
1,"CDC Asterix AGL","Rosthern, Canada 2017","Ro17",48.6666666666667,0.0205496666666667,17.5,16.4,0.021181570735571,47.2108519469079
1,"CDC Asterix AGL","Sutherland, Canada 2016","Su16",53.6666666666667,0.0186353333333333,16.7,15.9,0.0192922150524099,51.8343796854516
1,"CDC Asterix AGL","Sutherland, Canada 2017","Su17",54.6666666666667,0.0183023333333333,15.7,16.1,0.0186424746466753,53.6409472965725
1,"CDC Asterix AGL","Sutherland, Canada 2018","Su18",48,0.0208513333333333,17.6,16.1,0.0206461242649672,48.4352407825434
1,"CDC Asterix AGL","Central Ferry, USA 2018","Us18",61,0.016398,15.8,14.3,0.0153319864799475,65.2231203900347
1,"CDC Asterix AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,0.0094641799294403,105.661558365907
1,"CDC Asterix AGL","Bhopal, India 2017","In17",77.5,0.0129685,20.6,10.7,0.00992411429221933,100.764659752459
1,"CDC Asterix AGL","Jessore, Bangladesh 2016","Ba16",NA,0.009615,18.6,10.8,0.00955984711844975,104.604183268797
1,"CDC Asterix AGL","Jessore, Bangladesh 2017","Ba17",92.3333333333333,0.010834,21.7,11,0.0110681919926918,90.3489929213634
1,"CDC Asterix AGL","Bardiya, Nepal 2016","Ne16",123,0.00813066666666667,19.2,11,0.01022125621697,97.8353324457058
1,"CDC Asterix AGL","Bardiya, Nepal 2017","Ne17",128,0.00781933333333333,19.4,10.8,0.00980841078251157,101.95331559553
1,"CDC Asterix AGL","Cordoba, Spain 2016","Sp16",123.666666666667,0.00809233333333333,12.5,10.9,0.00780800875900708,128.073626818929
1,"CDC Asterix AGL","Cordoba, Spain 2017","Sp17",133,0.00751933333333333,11.7,11.1,0.00781268057674896,127.997041498927
1,"CDC Asterix AGL","Marchouch, Morocco 2016","Mo16",130,0.007692,12,10.8,0.00750919688993975,133.170033314711
1,"CDC Asterix AGL","Marchouch, Morocco 2017","Mo17",123.666666666667,0.00808666666666667,11.8,11.5,0.00838250218810722,119.296121558878
1,"CDC Asterix AGL","Metaponto, Italy 2016","It16",136.666666666667,0.007325,10.6,10.9,0.00719100381315942,139.062643544983
1,"CDC Asterix AGL","Metaponto, Italy 2017","It17",144.333333333333,0.00692866666666667,11.2,10.8,0.00726063322587793,137.729033940987
